,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
1,25_to_39_years_25_to_39_years,Alabama,Combined_25_to_39_years,25_to_39_years,54366,1493,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1124538.735,17147.26474828545,941369.2647482854
2,25_to_39_years_Computers_Mathematics_and_Statistics,Alabama,Computers_Mathematics_and_Statistics,25_to_39_years,64515,12010,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1327518.735,27296.26474828545,1124051.2647482855
3,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Alabama,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,53005,3844,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1097318.735,15786.264748285452,916871.2647482854
4,25_to_39_years_Physical_and_Related_Sciences,Alabama,Physical_and_Related_Sciences,25_to_39_years,42097,14162,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-879158.7353,4878.264748285452,720527.2647482854
5,25_to_39_years_Psychology,Alabama,Psychology,25_to_39_years,48988,6409,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1016978.735,11769.264748285452,844565.2647482854
6,25_to_39_years_Social_Sciences,Alabama,Social_Sciences,25_to_39_years,53549,6065,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1108198.735,16330.264748285452,926663.2647482854
7,25_to_39_years_Engineering,Alabama,Engineering,25_to_39_years,84357,6280,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1724358.735,47138.26474828545,1481207.2647482855
8,25_to_39_years_Multidisciplinary_Studies,Alabama,Multidisciplinary_Studies,25_to_39_years,46004,17049,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-957298.7353,8785.264748285452,790853.2647482854
9,25_to_39_years_Science_and_Engineering_Related_Fields,Alabama,Science_and_Engineering_Related_Fields,25_to_39_years,63414,3326,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1305498.735,26195.26474828545,1104233.2647482855
10,25_to_39_years_Business,Alabama,Business,25_to_39_years,59018,2476,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1217578.735,21799.26474828545,1025105.2647482854
11,25_to_39_years_Education,Alabama,Education,25_to_39_years,47996,3019,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-997138.7353,10777.264748285452,826709.2647482854
12,25_to_39_years_Literature_and_Languages,Alabama,Literature_and_Languages,25_to_39_years,45636,4654,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-949938.7353,8417.264748285452,784229.2647482854
13,25_to_39_years_Liberal_Arts_and_History,Alabama,Liberal_Arts_and_History,25_to_39_years,49751,5142,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1032238.735,12532.264748285452,858299.2647482854
14,25_to_39_years_Visual_and_Performing_Arts,Alabama,Visual_and_Performing_Arts,25_to_39_years,41332,3573,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-863858.7353,4113.264748285452,706757.2647482854
15,25_to_39_years_Communications,Alabama,Communications,25_to_39_years,44332,6685,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-923858.7353,7113.264748285452,760757.2647482854
16,25_to_39_years_Other,Alabama,Other,25_to_39_years,48237,3620,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,Bachelors_degree,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1001958.735,11018.264748285452,831047.2647482854
34,25_to_39_years_25_to_39_years,Alaska,Combined_25_to_39_years,25_to_39_years,65259,5884,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1334298.729,36140.27094991247,1145543.2709499125
35,25_to_39_years_Computers_Mathematics_and_Statistics,Alaska,Computers_Mathematics_and_Statistics,25_to_39_years,76786,59902,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1564838.729,47667.27094991247,1353029.2709499125
36,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Alaska,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64688,21800,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1322878.729,35569.27094991247,1135265.2709499125
37,25_to_39_years_Physical_and_Related_Sciences,Alaska,Physical_and_Related_Sciences,25_to_39_years,67957,15293,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1388258.729,38838.27094991247,1194107.2709499125
38,25_to_39_years_Psychology,Alaska,Psychology,25_to_39_years,70578,7386,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1440678.729,41459.27094991247,1241285.2709499125
39,25_to_39_years_Social_Sciences,Alaska,Social_Sciences,25_to_39_years,64250,36444,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1314118.729,35131.27094991247,1127381.2709499125
40,25_to_39_years_Engineering,Alaska,Engineering,25_to_39_years,92910,25823,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1887318.729,63791.27094991247,1643261.2709499125
41,25_to_39_years_Multidisciplinary_Studies,Alaska,Multidisciplinary_Studies,25_to_39_years,71236,36262,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1453838.729,42117.27094991247,1253129.2709499125
42,25_to_39_years_Science_and_Engineering_Related_Fields,Alaska,Science_and_Engineering_Related_Fields,25_to_39_years,62289,13284,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1274898.729,33170.27094991247,1092083.2709499125
43,25_to_39_years_Business,Alaska,Business,25_to_39_years,73420,15267,AK,18.166666666666668,5589.8,28.5,7364,11,7768,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1497518.729,44301.27094991247,1292441.2709499125
