name_major,total:,25_to_39_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other,40_to_64_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other
alabama_estimate,"63,221","54,366",,"64,515","53,005","42,097","48,988","53,549","84,357","46,004","63,414","59,018","47,996",,"45,636","49,751","41,332","44,332","48,237","73,389",,"96,701","88,662","106,531","52,705","77,969","121,098","90,810","76,527","77,864","54,386",,"58,962","60,475","52,006","61,407","65,411"
alabama_margin_of_error,±986,"±1,493",,"±12,010","±3,844","±14,162","±6,409","±6,065","±6,280","±17,049","±3,326","±2,476","±3,019",,"±4,654","±5,142","±3,573","±6,685","±3,620","±2,520",,"±9,779","±12,790","±10,248","±3,739","±8,883","±10,289","±23,418","±3,126","±4,291","±1,951",,"±6,532","±5,744","±10,496","±7,455","±6,991"
alaska_estimate,"77,172","65,259",,"76,786","64,688","67,957","70,578","64,250","92,910","71,236","62,289","73,420","63,555",,"59,733","63,558","38,038","56,281","62,025","87,147",,"124,397","94,307","109,046","98,380","86,453","117,857","64,972","86,509","96,877","76,609",,"67,159","85,326","73,177","74,711","100,095"
alaska_margin_of_error,"±3,871","±5,884",,"±59,902","±21,800","±15,293","±7,386","±36,444","±25,823","±36,262","±13,284","±15,267","±11,865",,"±14,625","±20,098","±15,687","±16,123","±14,819","±4,102",,"±110,344","±14,420","±52,013","±22,999","±6,452","±24,608","±64,190","±10,824","±9,919","±6,901",,"±12,785","±19,676","±24,145","±19,791","±17,191"
arizona_estimate,"69,316","60,743",,"82,391","54,925","62,316","53,281","59,144","86,615","54,175","62,915","66,060","51,036",,"52,459","56,760","47,658","55,536","56,087","80,644",,"117,225","93,501","93,739","67,604","82,172","120,834","73,327","83,798","86,946","54,937",,"64,934","64,986","60,163","71,927","69,160"
arizona_margin_of_error,"±1,264",±802,,"±6,307","±5,378","±9,343","±3,091","±5,642","±4,397","±7,580","±2,123","±1,771","±1,451",,"±5,485","±8,183","±6,892","±7,543","±2,853","±1,405",,"±7,550","±8,614","±15,529","±5,834","±7,785","±4,991","±13,125","±2,848","±2,992","±1,878",,"±7,639","±6,569","±7,524","±12,720","±3,705"
arkansas_estimate,"60,923","52,604",,"93,027","57,000","61,495","42,749","49,192","72,789","50,461","61,354","59,681","46,818",,"50,121","42,657","43,675","45,923","45,047","69,933",,"89,702","85,770","72,046","55,728","81,793","104,738","76,776","79,754","77,926","54,877",,"63,482","55,118","43,452","61,903","61,912"
arkansas_margin_of_error,"±1,150","±1,616",,"±29,551","±5,330","±15,767","±8,863","±4,181","±17,201","±14,143","±2,049","±3,489","±2,582",,"±11,570","±6,293","±6,740","±2,843","±2,636","±2,415",,"±24,986","±16,812","±15,556","±6,149","±3,812","±15,524","±33,928","±4,407","±4,062","±2,811",,"±8,005","±8,394","±10,355","±7,969","±6,654"
california_estimate,"87,531","76,005",,"106,581","74,495","80,828","63,246","75,405","116,465","74,142","80,368","78,489","55,837",,"63,706","63,722","58,721","70,378","60,909","101,321",,"129,979","116,952","123,363","88,363","102,271","151,269","95,903","104,359","97,828","78,393",,"87,539","90,663","71,882","88,498","85,601"
