name_major,total,years_25_to_39,science_and_engineering_25_to_39,computers_mathematics_and_statistics_25_to_39,biological_agricultural_and_environmental_sciences_25_to_39,physical_and_related_sciences_25_to_39,psychology_25_to_39,social_sciences_25_to_39,engineering_25_to_39,multidisciplinary_studies_25_to_39,science_and_engineering_related_fields_25_to_39,business_25_to_39,education_25_to_39,arts_humanities_and_other_25_to_39,literature_and_languages_25_to_39,liberal_arts_and_history_25_to_39,visual_and_performing_arts_25_to_39,communications_25_to_39,other_25_to_39,years_40_to_64,science_and_engineering_40_to_64,computers_mathematics_and_statistics_40_to_64,biological_agricultural_and_environmental_sciences_40_to_64,physical_and_related_sciences_40_to_64,psychology_40_to_64,social_sciences_40_to_64,engineering_40_to_64,multidisciplinary_studies_40_to_64,science_and_engineering_related_fields_40_to_64,business_40_to_64,education_40_to_64,arts_humanities_and_other_40_to_64,literature_and_languages_40_to_64,liberal_arts_and_history_40_to_64,visual_and_performing_arts_40_to_64,communications_40_to_64,other_40_to_64
alabama_estimate,63221,54366,0,64515,53005,42097,48988,53549,84357,46004,63414,59018,47996,0,45636,49751,41332,44332,48237,73389,0,96701,88662,106531,52705,77969,121098,90810,76527,77864,54386,0,58962,60475,52006,61407,65411
alabama_margin_of_error,986,1493,,12010,3844,14162,6409,6065,6280,17049,3326,2476,3019,,4654,5142,3573,6685,3620,2520,,9779,12790,10248,3739,8883,10289,23418,3126,4291,1951,,6532,5744,10496,7455,6991
alaska_estimate,77172,65259,0,76786,64688,67957,70578,64250,92910,71236,62289,73420,63555,0,59733,63558,38038,56281,62025,87147,0,124397,94307,109046,98380,86453,117857,64972,86509,96877,76609,0,67159,85326,73177,74711,100095
alaska_margin_of_error,3871,5884,,59902,21800,15293,7386,36444,25823,36262,13284,15267,11865,,14625,20098,15687,16123,14819,4102,,110344,14420,52013,22999,6452,24608,64190,10824,9919,6901,,12785,19676,24145,19791,17191
arizona_estimate,69316,60743,0,82391,54925,62316,53281,59144,86615,54175,62915,66060,51036,0,52459,56760,47658,55536,56087,80644,0,117225,93501,93739,67604,82172,120834,73327,83798,86946,54937,0,64934,64986,60163,71927,69160
arizona_margin_of_error,1264,802,,6307,5378,9343,3091,5642,4397,7580,2123,1771,1451,,5485,8183,6892,7543,2853,1405,,7550,8614,15529,5834,7785,4991,13125,2848,2992,1878,,7639,6569,7524,12720,3705
arkansas_estimate,60923,52604,0,93027,57000,61495,42749,49192,72789,50461,61354,59681,46818,0,50121,42657,43675,45923,45047,69933,0,89702,85770,72046,55728,81793,104738,76776,79754,77926,54877,0,63482,55118,43452,61903,61912
arkansas_margin_of_error,1150,1616,,29551,5330,15767,8863,4181,17201,14143,2049,3489,2582,,11570,6293,6740,2843,2636,2415,,24986,16812,15556,6149,3812,15524,33928,4407,4062,2811,,8005,8394,10355,7969,6654
california_estimate,87531,76005,0,106581,74495,80828,63246,75405,116465,74142,80368,78489,55837,0,63706,63722,58721,70378,60909,101321,0,129979,116952,123363,88363,102271,151269,95903,104359,97828,78393,0,87539,90663,71882,88498,85601
california_margin_of_error,714,652,,3074,1749,5352,1776,1999,3760,4052,1890,2271,2839,,2175,1947,3211,2530,1119,427,,5080,4767,3630,3896,1489,2155,10422,1840,2847,4163,,3478,3388,2357,3890,2476
colorado_estimate,76397,67009,0,90114,59924,67253,54295,73201,93554,58763,67357,80460,48184,0,51585,62406,51710,63735,62558,87199,0,110380,90590,101280,74786,84790,130810,77683,86948,96432,61720,0,70394,77303,51384,80622,74509
colorado_margin_of_error,956,1019,,9397,2755,5175,2802,5375,2985,6444,3244,2566,3741,,3992,4753,3552,2369,3110,1493,,8724,6071,9952,4554,4943,5160,26625,7104,5097,4178,,4054,7757,3789,5180,3793
connecticut_estimate,84028,71512,0,80949,75037,69743,61932,67955,94186,71408,71259,80851,63127,0,58192,66632,54400,70716,64746,98064,0,128024,104142,113223,89325,110741,128907,101982,93671,104699,80080,0,78191,103036,68587,99504,72042
connecticut_margin_of_error,1759,1495,,4758,6454,16109,5896,3817,4177,5944,4355,2671,3586,,6757,7338,8283,9711,3692,2240,,12898,4894,18408,8625,14733,8689,43742,5254,2734,4578,,7927,10324,6990,6351,3508
delaware_estimate,72374,65284,0,45437,70784,70041,66239,53167,87564,59192,75410,77211,60253,0,55543,75703,40318,36346,58868,81181,0,82813,125887,120261,90667,98194,122360,42356,82406,79513,72930,0,65679,69045,67586,83490,66667
delaware_margin_of_error,3165,3873,,11551,16578,8013,15059,6474,7518,8611,5866,9570,4334,,19155,20553,15038,1917,4555,4376,,14697,23492,35792,8926,29403,10523,7813,12997,11198,10858,,25132,15100,35521,18378,4143
district_of_columbia_estimate,100828,89341,0,104594,93784,80874,71834,94380,112447,82696,77615,102628,70485,0,86784,97090,73475,77293,76995,132269,0,142406,135595,177198,125269,150633,156367,113079,112641,124417,109663,0,116930,133868,91267,101822,130018
