degree_age_range,state,degree,age_range,estimate,margin_of_error
Total,Alabama,Total,Total,63221,986
25_to_39_years_25_to_39_years,Alabama,25_to_39_years,25_to_39_years,54366,1493
25_to_39_years_Computers_Mathematics_and_Statistics,Alabama,Computers_Mathematics_and_Statistics,25_to_39_years,64515,12010
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Alabama,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,53005,3844
25_to_39_years_Physical_and_Related_Sciences,Alabama,Physical_and_Related_Sciences,25_to_39_years,42097,14162
25_to_39_years_Psychology,Alabama,Psychology,25_to_39_years,48988,6409
25_to_39_years_Social_Sciences,Alabama,Social_Sciences,25_to_39_years,53549,6065
25_to_39_years_Engineering,Alabama,Engineering,25_to_39_years,84357,6280
25_to_39_years_Multidisciplinary_Studies,Alabama,Multidisciplinary_Studies,25_to_39_years,46004,17049
25_to_39_years_Science_and_Engineering_Related_Fields,Alabama,Science_and_Engineering_Related_Fields,25_to_39_years,63414,3326
25_to_39_years_Business,Alabama,Business,25_to_39_years,59018,2476
25_to_39_years_Education,Alabama,Education,25_to_39_years,47996,3019
25_to_39_years_Literature_and_Languages,Alabama,Literature_and_Languages,25_to_39_years,45636,4654
25_to_39_years_Liberal_Arts_and_History,Alabama,Liberal_Arts_and_History,25_to_39_years,49751,5142
25_to_39_years_Visual_and_Performing_Arts,Alabama,Visual_and_Performing_Arts,25_to_39_years,41332,3573
25_to_39_years_Communications,Alabama,Communications,25_to_39_years,44332,6685
25_to_39_years_Other,Alabama,Other,25_to_39_years,48237,3620
40_to_64_years_40_to_64_years,Alabama,40_to_64_years,40_to_64_years,73389,2520
40_to_64_years_Computers_Mathematics_and_Statistics,Alabama,Computers_Mathematics_and_Statistics,40_to_64_years,96701,9779
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Alabama,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,88662,12790
40_to_64_years_Physical_and_Related_Sciences,Alabama,Physical_and_Related_Sciences,40_to_64_years,106531,10248
40_to_64_years_Psychology,Alabama,Psychology,40_to_64_years,52705,3739
40_to_64_years_Social_Sciences,Alabama,Social_Sciences,40_to_64_years,77969,8883
40_to_64_years_Engineering,Alabama,Engineering,40_to_64_years,121098,10289
40_to_64_years_Multidisciplinary_Studies,Alabama,Multidisciplinary_Studies,40_to_64_years,90810,23418
40_to_64_years_Science_and_Engineering_Related_Fields,Alabama,Science_and_Engineering_Related_Fields,40_to_64_years,76527,3126
40_to_64_years_Business,Alabama,Business,40_to_64_years,77864,4291
40_to_64_years_Education,Alabama,Education,40_to_64_years,54386,1951
40_to_64_years_Literature_and_Languages,Alabama,Literature_and_Languages,40_to_64_years,58962,6532
40_to_64_years_Liberal_Arts_and_History,Alabama,Liberal_Arts_and_History,40_to_64_years,60475,5744
40_to_64_years_Visual_and_Performing_Arts,Alabama,Visual_and_Performing_Arts,40_to_64_years,52006,10496
40_to_64_years_Communications,Alabama,Communications,40_to_64_years,61407,7455
40_to_64_years_Other,Alabama,Other,40_to_64_years,65411,6991
Total,Alaska,Total,Total,77172,3871
25_to_39_years_25_to_39_years,Alaska,25_to_39_years,25_to_39_years,65259,5884
25_to_39_years_Computers_Mathematics_and_Statistics,Alaska,Computers_Mathematics_and_Statistics,25_to_39_years,76786,59902
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Alaska,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64688,21800
