"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B15014_001E","Estimate!!Total:"
"B15014_001M","Margin of Error!!Total:"
"B15014_001MA","Annotation of Margin of Error!!Total:"
"B15014_001EA","Annotation of Estimate!!Total:"
"B15014_002E","Estimate!!Total:!!25 to 39 years:"
"B15014_002M","Margin of Error!!Total:!!25 to 39 years:"
"B15014_002MA","Annotation of Margin of Error!!Total:!!25 to 39 years:"
"B15014_002EA","Annotation of Estimate!!Total:!!25 to 39 years:"
"B15014_003E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_003M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_003MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_003EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_004E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_004M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_004MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_004EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_005E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_005M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_005MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_005EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_006E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology"
"B15014_006EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology"
"B15014_006M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology"
"B15014_006MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Psychology"
"B15014_007E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences"
"B15014_007EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences"
"B15014_007M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences"
"B15014_007MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Social Sciences"
"B15014_008E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering"
"B15014_008EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering"
"B15014_008M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering"
"B15014_008MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Engineering"
"B15014_009E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_009M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_009MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_009EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_010E","Estimate!!Total:!!25 to 39 years:!!Science and Engineering Related Fields"
"B15014_010M","Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering Related Fields"
"B15014_010MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Science and Engineering Related Fields"
"B15014_010EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Science and Engineering Related Fields"
"B15014_011E","Estimate!!Total:!!25 to 39 years:!!Business"
"B15014_011M","Margin of Error!!Total:!!25 to 39 years:!!Business"
"B15014_011MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Business"
"B15014_011EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Business"
"B15014_012E","Estimate!!Total:!!25 to 39 years:!!Education"
