state,sex,education,estimate,margin_of_error
Alabama,total,Total,42463,488
Alabama,total,Less_than_high_school_graduate,28515,1683
Alabama,total,High_school_graduate_includes_equivalency,34127,1153
Alabama,total,Some_college_or_associates_degree,39501,944
Alabama,total,Bachelors_degree,56640,1667
Alabama,total,Graduate_or_professional_degree,70732,1893
Alabama,male,Male,51867,578
Alabama,male,Less_than_high_school_graduate,32089,1079
Alabama,male,High_school_graduate_includes_equivalency,41600,795
Alabama,male,Some_college_or_associates_degree,51002,1153
Alabama,male,Bachelors_degree,71465,2183
Alabama,male,Graduate_or_professional_degree,92889,5549
Alabama,female,Female,35268,544
Alabama,female,Less_than_high_school_graduate,22016,1548
Alabama,female,High_school_graduate_includes_equivalency,26337,850
Alabama,female,Some_college_or_associates_degree,31607,507
Alabama,female,Bachelors_degree,46955,1427
Alabama,female,Graduate_or_professional_degree,60575,1235
Alaska,total,Total,53582,1470
Alaska,total,Less_than_high_school_graduate,41145,3279
Alaska,total,High_school_graduate_includes_equivalency,40651,2478
Alaska,total,Some_college_or_associates_degree,51499,2127
Alaska,total,Bachelors_degree,67321,5978
Alaska,total,Graduate_or_professional_degree,89202,4757
Alaska,male,Male,61327,1961
Alaska,male,Less_than_high_school_graduate,44078,6545
Alaska,male,High_school_graduate_includes_equivalency,44861,3200
Alaska,male,Some_college_or_associates_degree,59395,2949
Alaska,male,Bachelors_degree,79622,5147
Alaska,male,Graduate_or_professional_degree,97504,8392
Alaska,female,Female,47601,1771
Alaska,female,Less_than_high_school_graduate,32000,5293
Alaska,female,High_school_graduate_includes_equivalency,32330,2775
Alaska,female,Some_college_or_associates_degree,44106,3655
Alaska,female,Bachelors_degree,56933,7067
Alaska,female,Graduate_or_professional_degree,85703,2861
Arizona,total,Total,48738,558
Arizona,total,Less_than_high_school_graduate,31966,538
Arizona,total,High_school_graduate_includes_equivalency,38547,909
Arizona,total,Some_college_or_associates_degree,45115,797
Arizona,total,Bachelors_degree,63471,839
Arizona,total,Graduate_or_professional_degree,76587,1626
Arizona,male,Male,53647,651
Arizona,male,Less_than_high_school_graduate,36974,1325
Arizona,male,High_school_graduate_includes_equivalency,42457,871
Arizona,male,Some_college_or_associates_degree,51791,889
Arizona,male,Bachelors_degree,75517,1812
Arizona,male,Graduate_or_professional_degree,95527,3287
Arizona,female,Female,42429,513
Arizona,female,Less_than_high_school_graduate,25764,1544
Arizona,female,High_school_graduate_includes_equivalency,32739,1259
Arizona,female,Some_college_or_associates_degree,39821,928
Arizona,female,Bachelors_degree,53443,1205
Arizona,female,Graduate_or_professional_degree,65877,1760
Arkansas,total,Total,41385,401
Arkansas,total,Less_than_high_school_graduate,30770,1084
Arkansas,total,High_school_graduate_includes_equivalency,34517,1008
Arkansas,total,Some_college_or_associates_degree,38814,996
Arkansas,total,Bachelors_degree,53117,1497
Arkansas,total,Graduate_or_professional_degree,68769,2856
Arkansas,male,Male,48162,1431
Arkansas,male,Less_than_high_school_graduate,35059,2198
Arkansas,male,High_school_graduate_includes_equivalency,40487,784
Arkansas,male,Some_college_or_associates_degree,47765,3303
Arkansas,male,Bachelors_degree,66177,3698
Arkansas,male,Graduate_or_professional_degree,80253,6989
Arkansas,female,Female,35280,631
Arkansas,female,Less_than_high_school_graduate,23546,2232
Arkansas,female,High_school_graduate_includes_equivalency,27660,1139
