"GEO_ID","NAME","B20004_001E","B20004_001EA","B20004_001M","B20004_001MA","B20004_002E","B20004_002EA","B20004_002M","B20004_002MA","B20004_003E","B20004_003EA","B20004_003M","B20004_003MA","B20004_004E","B20004_004M","B20004_004MA","B20004_004EA","B20004_005E","B20004_005EA","B20004_005M","B20004_005MA","B20004_006E","B20004_006EA","B20004_006M","B20004_006MA","B20004_007E","B20004_007EA","B20004_007M","B20004_007MA","B20004_008E","B20004_008EA","B20004_008M","B20004_008MA","B20004_009E","B20004_009EA","B20004_009M","B20004_009MA","B20004_010E","B20004_010EA","B20004_010M","B20004_010MA","B20004_011E","B20004_011EA","B20004_011M","B20004_011MA","B20004_012E","B20004_012EA","B20004_012M","B20004_012MA","B20004_013E","B20004_013EA","B20004_013M","B20004_013MA","B20004_014E","B20004_014EA","B20004_014M","B20004_014MA","B20004_015E","B20004_015EA","B20004_015M","B20004_015MA","B20004_016E","B20004_016EA","B20004_016M","B20004_016MA","B20004_017E","B20004_017EA","B20004_017M","B20004_017MA","B20004_018E","B20004_018EA","B20004_018M","B20004_018MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Annotation of Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Annotation of Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Annotation of Margin of Error!!Total:!!Some college or associate's degree","Annotation of Estimate!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Annotation of Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Annotation of Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Annotation of Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than high school graduate","Annotation of Estimate!!Total:!!Male:!!Less than high school graduate","Margin of Error!!Total:!!Male:!!Less than high school graduate","Annotation of Margin of Error!!Total:!!Male:!!Less than high school graduate","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college or associate's degree","Annotation of Estimate!!Total:!!Male:!!Some college or associate's degree","Margin of Error!!Total:!!Male:!!Some college or associate's degree","Annotation of Margin of Error!!Total:!!Male:!!Some college or associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Annotation of Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Graduate or professional degree","Annotation of Estimate!!Total:!!Male:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!Graduate or professional degree","Annotation of Margin of Error!!Total:!!Male:!!Graduate or professional degree","Estimate!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than high school graduate","Annotation of Estimate!!Total:!!Female:!!Less than high school graduate","Margin of Error!!Total:!!Female:!!Less than high school graduate","Annotation of Margin of Error!!Total:!!Female:!!Less than high school graduate","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college or associate's degree","Annotation of Estimate!!Total:!!Female:!!Some college or associate's degree","Margin of Error!!Total:!!Female:!!Some college or associate's degree","Annotation of Margin of Error!!Total:!!Female:!!Some college or associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Annotation of Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Graduate or professional degree","Annotation of Estimate!!Total:!!Female:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!Graduate or professional degree","Annotation of Margin of Error!!Total:!!Female:!!Graduate or professional degree",
"0400000US01","Alabama","42463","null","488","null","28515","null","1683","null","34127","null","1153","null","39501","944","null","null","56640","null","1667","null","70732","null","1893","null","51867","null","578","null","32089","null","1079","null","41600","null","795","null","51002","null","1153","null","71465","null","2183","null","92889","null","5549","null","35268","null","544","null","22016","null","1548","null","26337","null","850","null","31607","null","507","null","46955","null","1427","null","60575","null","1235","null",
"0400000US02","Alaska","53582","null","1470","null","41145","null","3279","null","40651","null","2478","null","51499","2127","null","null","67321","null","5978","null","89202","null","4757","null","61327","null","1961","null","44078","null","6545","null","44861","null","3200","null","59395","null","2949","null","79622","null","5147","null","97504","null","8392","null","47601","null","1771","null","32000","null","5293","null","32330","null","2775","null","44106","null","3655","null","56933","null","7067","null","85703","null","2861","null",
"0400000US04","Arizona","48738","null","558","null","31966","null","538","null","38547","null","909","null","45115","797","null","null","63471","null","839","null","76587","null","1626","null","53647","null","651","null","36974","null","1325","null","42457","null","871","null","51791","null","889","null","75517","null","1812","null","95527","null","3287","null","42429","null","513","null","25764","null","1544","null","32739","null","1259","null","39821","null","928","null","53443","null","1205","null","65877","null","1760","null",
"0400000US05","Arkansas","41385","null","401","null","30770","null","1084","null","34517","null","1008","null","38814","996","null","null","53117","null","1497","null","68769","null","2856","null","48162","null","1431","null","35059","null","2198","null","40487","null","784","null","47765","null","3303","null","66177","null","3698","null","80253","null","6989","null","35280","null","631","null","23546","null","2232","null","27660","null","1139","null","32257","null","1001","null","46102","null","1918","null","62285","null","2085","null",
"0400000US06","California","52520","null","233","null","30843","null","186","null","38507","null","460","null","47535","425","null","null","75688","null","567","null","103600","null","734","null","59577","null","555","null","35074","null","473","null","42710","null","490","null","55389","null","817","null","86663","null","669","null","124911","null","1378","null","46176","null","339","null","23950","null","561","null","31970","null","283","null","40044","null","342","null","64979","null","811","null","89917","null","1183","null",
"0400000US08","Colorado","55648","null","720","null","34357","null","1706","null","42245","null","868","null","46542","821","null","null","69493","null","1237","null","84468","null","1931","null","64224","null","737","null","40470","null","2184","null","49663","null","1398","null","54159","null","1254","null","84234","null","2137","null","103054","null","2568","null","47480","null","856","null","26991","null","2567","null","34065","null","2240","null","39167","null","1132","null","56710","null","1521","null","71220","null","1764","null",
"0400000US09","Connecticut","58734","null","1178","null","31767","null","1063","null","41610","null","793","null","49709","1754","null","null","75597","null","1766","null","92566","null","1859","null","66871","null","1830","null","37071","null","2946","null","48425","null","1899","null","58277","null","2627","null","89721","null","3467","null","114341","null","6796","null","51014","null","796","null","25301","null","2705","null","32078","null","747","null","40582","null","1086","null","63248","null","1520","null","79204","null","3090","null",
"0400000US10","Delaware","50835","null","878","null","34578","null","2306","null","39820","null","2238","null","44530","1758","null","null","64139","null","3027","null","79150","null","3804","null","56661","null","2251","null","36361","null","2435","null","42981","null","3760","null","52602","null","2753","null","77214","null","5283","null","95071","null","6549","null","44788","null","1369","null","30571","null","3806","null","33331","null","2214","null","41335","null","1119","null","51472","null","2201","null","69691","null","3640","null",
"0400000US11","District of Columbia","83510","null","2750","null","26970","null","6116","null","38599","null","4544","null","48566","3947","null","null","83903","null","2914","null","113205","null","6360","null","91657","null","2957","null","42019","null","9566","null","38283","null","4907","null","51323","null","3793","null","91796","null","6419","null","128604","null","4570","null","78678","null","2673","null","23332","null","1904","null","39098","null","11131","null","46535","null","4047","null","79072","null","3129","null","102191","null","3215","null",
