State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
Alabama,Less_than_high_school_graduate,,16,28515,28515,,26.16215253
Alabama,High_school_graduate_includes_equivalency,,18,34127,34127,26.16215253,
Alabama,Some_college_or_associates_degree,,20,39501,26279.48346,29.58579251,33.1610563
Alabama,Bachelors_degree,Combined_25_to_39_years,22,54366,17147.26475,28.05805328,28.58376082
Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,53005,15786.26475,28.50586914,29.20260278
Alabama,Bachelors_degree,Business,22,59018,21799.26475,26.82912288,26.97950003
Alabama,Bachelors_degree,Communications,22,44332,7113.264748,33.16992699,37.02368792
Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics,22,64515,27296.26475,25.78635376,25.71695193
Alabama,Bachelors_degree,Education,22,47996,10777.26475,30.69291798,32.52626255
Alabama,Bachelors_degree,Engineering,22,84357,47138.26475,23.73032369,23.45862503
Alabama,Bachelors_degree,Liberal_Arts_and_History,22,49751,12532.26475,29.80922656,31.11922269
Alabama,Bachelors_degree,Literature_and_Languages,22,45636,8417.264748,32.16685563,35.09485926
Alabama,Bachelors_degree,Multidisciplinary_Studies,22,46004,8785.264748,31.91084312,34.62715629
Alabama,Bachelors_degree,Other,22,48237,11018.26475,30.56225207,32.31231292
Alabama,Bachelors_degree,Physical_and_Related_Sciences,22,42097,4878.264748,35.3371179,41.79758284
Alabama,Bachelors_degree,Psychology,22,48988,11769.26475,30.17480268,31.69011071
Alabama,Bachelors_degree,Science_and_Engineering_Related_Fields,22,63414,26195.26475,25.9689027,25.931872
Alabama,Bachelors_degree,Social_Sciences,22,53549,16330.26475,28.32103281,28.94484272
Alabama,Bachelors_degree,Visual_and_Performing_Arts,22,41332,4113.264748,36.25253454,44.11196881
Alabama,Less_than_high_school_graduate,,39,28515,684360,,
Alabama,High_school_graduate_includes_equivalency,,39,34127,750794,,
Alabama,Some_college_or_associates_degree,,39,39501,776798.4835,,
Alabama,Bachelors_degree,Combined_25_to_39_years,39,54366,941369.2647,,
Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,53005,916871.2647,,
Alabama,Bachelors_degree,Business,39,59018,1025105.265,,
Alabama,Bachelors_degree,Communications,39,44332,760757.2647,,
Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics,39,64515,1124051.265,,
Alabama,Bachelors_degree,Education,39,47996,826709.2647,,
