,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
0,Alabama,total,Total,42463,488,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0,0,0,0,,,42463,
1,Alabama,total,Less_than_high_school_graduate,28515,1683,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0,0,0,0,16,-399210,28515,684360
2,Alabama,total,High_school_graduate_includes_equivalency,34127,1153,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0,0,0,0,18,-546032,34127,750794
3,Alabama,total,Some_college_or_associates_degree,39501,944,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,5076.1578947368425,10152.315789473685,110.17930453109895,13221.516543731874,20,-724239.5165,26279.483456268128,776798.4834562681
4,Alabama,total,Bachelors_degree,56640,1667,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22,-1170018.735,19421.26474828545,982301.2647482854
5,Alabama,total,Graduate_or_professional_degree,70732,1893,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0,0,0,0,26,-1697568,70732,990248
18,Alaska,total,Total,53582,1470,AK,18.166666666666668,5589.8,28.5,7364,11,7768,0,0,0,0,,,53582,
19,Alaska,total,Less_than_high_school_graduate,41145,3279,AK,18.166666666666668,5589.8,28.5,7364,11,7768,0,0,0,0,16,-576030,41145,987480
20,Alaska,total,High_school_graduate_includes_equivalency,40651,2478,AK,18.166666666666668,5589.8,28.5,7364,11,7768,0,0,0,0,18,-650416,40651,894322
21,Alaska,total,Some_college_or_associates_degree,51499,2127,AK,18.166666666666668,5589.8,28.5,7364,11,7768,7364,14728,159.83750218019472,19180.500261623365,20,-946162.5003,32318.499738376635,1010799.4997383766
22,Alaska,total,Bachelors_degree,67321,5978,AK,18.166666666666668,5589.8,28.5,7364,11,7768,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1375538.729,38202.27094991247,1182659.2709499125
