,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
0,Alabama,total,Total,42463,488,AL,59.83333333,16.04,73.46666667,0,0,0,0,,,,42463,,,,,
1,Alabama,total,Less_than_high_school_graduate,28515,1683,AL,59.83333333,16.04,73.46666667,0,0,0,0,16,39,-399210,28515,684360,26.16215253,346803.7794,#DIV/0!,#DIV/0!
2,Alabama,total,High_school_graduate_includes_equivalency,34127,1153,AL,59.83333333,16.04,73.46666667,0,0,0,0,18,39,-546032,34127,750794,#DIV/0!,#DIV/0!,26.16215253,346803.7794
3,Alabama,total,Some_college_or_associates_degree,39501,944,AL,59.83333333,16.04,73.46666667,5076.157895,10152.31579,110.1793045,13221.51654,20,39,-724239.5165,26279.48346,776798.4835,33.1610563,585655.3683,29.58579251,444428.8735
4,Alabama,total,Bachelors_degree,56640,1667,AL,59.83333333,16.04,73.46666667,7144.724138,28578.89655,310.1561271,37218.73525,22,39,-1170018.735,19421.26475,982301.2647,27.71672968,399856.8337,27.40653281,382287.283
5,Alabama,total,Graduate_or_professional_degree,70732,1893,AL,59.83333333,16.04,73.46666667,0,0,0,0,26,39,-1697568,70732,990248,31.45843464,527549.999,30.75438804,477751.375
18,Alaska,total,Total,53582,1470,AK,18.16666667,28.5,11,0,0,0,0,,,,53582,,,,,
19,Alaska,total,Less_than_high_school_graduate,41145,3279,AK,18.16666667,28.5,11,0,0,0,0,16,39,-576030,41145,987480,-150.5789474,-6771600.789,#DIV/0!,#DIV/0!
20,Alaska,total,High_school_graduate_includes_equivalency,40651,2478,AK,18.16666667,28.5,11,0,0,0,0,18,39,-650416,40651,894322,#DIV/0!,#DIV/0!,-150.5789474,-6771600.789
21,Alaska,total,Some_college_or_associates_degree,51499,2127,AK,18.16666667,28.5,11,7364,14728,159.8375022,19180.50026,20,39,-946162.5003,32318.49974,1010799.5,27.26276735,457842.7557,35.74777866,894812.353
22,Alaska,total,Bachelors_degree,67321,5978,AK,18.16666667,28.5,11,5589.8,22359.2,242.6560754,29118.72905,22,39,-1375538.729,38202.27095,1182659.271,27.18870375,454831.9962,30.5435792,680685.566
23,Alaska,total,Graduate_or_professional_degree,89202,4757,AK,18.16666667,28.5,11,0,0,0,0,26,39,-2140848,89202,1248828,30.69827604,597499.6193,32.56170797,763721.4745
36,Arizona,total,Total,48738,558,AZ,61.125,32.75757576,62.47058824,0,0,0,0,,,,48738,,,,,
37,Arizona,total,Less_than_high_school_graduate,31966,538,AZ,61.125,32.75757576,62.47058824,0,0,0,0,16,39,-447524,31966,767184,25.71463303,374469.9596,#DIV/0!,#DIV/0!
38,Arizona,total,High_school_graduate_includes_equivalency,38547,909,AZ,61.125,32.75757576,62.47058824,0,0,0,0,18,39,-616752,38547,848034,#DIV/0!,#DIV/0!,25.71463303,374469.9596
39,Arizona,total,Some_college_or_associates_degree,45115,797,AZ,61.125,32.75757576,62.47058824,5916.451613,11832.90323,128.4180945,15410.17133,20,39,-827480.1713,29704.82867,886889.8287,32.08406994,619992.6438,28.89620285,476172.0204
40,Arizona,total,Bachelors_degree,63471,839,AZ,61.125,32.75757576,62.47058824,8297.761905,33191.04762,360.210086,43225.21032,22,39,-1312645.21,20245.78968,1099252.79,27.92060706,459503.6403,27.45980671,430256.1812
41,Arizona,total,Graduate_or_professional_degree,76587,1626,AZ,61.125,32.75757576,62.47058824,0,0,0,0,26,39,-1838088,76587,1072218,32.10662461,620862.0587,31.16389144,548660.9538
54,Arkansas,total,Total,41385,401,AR,55.28,18.72,75.48275862,0,0,0,0,,,,41385,,,,,
55,Arkansas,total,Less_than_high_school_graduate,30770,1084,AR,55.28,18.72,75.48275862,0,0,0,0,16,39,-430780,30770,738480,32.42380571,566900.5017,#DIV/0!,#DIV/0!
56,Arkansas,total,High_school_graduate_includes_equivalency,34517,1008,AR,55.28,18.72,75.48275862,0,0,0,0,18,39,-552272,34517,759374,#DIV/0!,#DIV/0!,32.42380571,566900.5017
57,Arkansas,total,Some_college_or_associates_degree,38814,996,AR,55.28,18.72,75.48275862,4533.4,9066.8,98.3986057,11807.83268,20,39,-710459.8327,27006.16732,764472.1673,36.81355194,718421.3723,34.76875096,639054.4669
58,Arkansas,total,Bachelors_degree,53117,1497,AR,55.28,18.72,75.48275862,6423.125,25692.5,278.8311396,33459.73676,22,39,-1095799.737,19657.26324,922646.2632,29.22192133,456381.0586,29.75879253,484898.0463
59,Arkansas,total,Graduate_or_professional_degree,68769,2856,AR,55.28,18.72,75.48275862,0,0,0,0,26,39,-1650456,68769,962766,32.0618942,554408.402,32.09758152,556862.5832
72,California,total,Total,52520,233,CA,40.59016393,33.48108108,52.32758621,0,0,0,0,,,,52520,,,,,
73,California,total,Less_than_high_school_graduate,30843,186,CA,40.59016393,33.48108108,52.32758621,0,0,0,0,16,39,-431802,30843,740232,24.04879958,309935.1255,#DIV/0!,#DIV/0!
74,California,total,High_school_graduate_includes_equivalency,38507,460,CA,40.59016393,33.48108108,52.32758621,0,0,0,0,18,39,-616112,38507,847154,#DIV/0!,#DIV/0!,24.04879958,309935.1255
75,California,total,Some_college_or_associates_degree,47535,425,CA,40.59016393,33.48108108,52.32758621,6725.548387,13451.09677,145.9797467,17517.56961,20,39,-873147.5696,30017.43039,933182.4304,28.4709315,480218.1594,26.44054455,383703.7155
76,California,total,Bachelors_degree,75688,567,CA,40.59016393,33.48108108,52.32758621,6967.29697,27869.18788,302.453923,36294.47076,22,39,-1550054.471,39393.52924,1326089.529,25.1188099,351138.0127,24.93594538,337297.3635
77,California,total,Graduate_or_professional_degree,103600,734,CA,40.59016393,33.48108108,52.32758621,0,0,0,0,26,39,-2486400,103600,1450400,28.73255189,490292.3755,28.23917974,439179.0206
90,Colorado,total,Total,55648,720,CO,44.09375,53.29166667,64.72222222,0,0,0,0,,,,55648,,,,,
91,Colorado,total,Less_than_high_school_graduate,34357,1706,CO,44.09375,53.29166667,64.72222222,0,0,0,0,16,39,-480998,34357,824568,24.7112069,368004.9353,#DIV/0!,#DIV/0!
92,Colorado,total,High_school_graduate_includes_equivalency,42245,868,CO,44.09375,53.29166667,64.72222222,0,0,0,0,18,39,-675920,42245,929390,#DIV/0!,#DIV/0!,24.7112069,368004.9353
93,Colorado,total,Some_college_or_associates_degree,46542,821,CO,44.09375,53.29166667,64.72222222,6498.217391,12996.43478,141.0454694,16925.45632,20,39,-854681.4563,29616.54368,913914.5437,41.60145597,1081533.508,30.66749744,572645.2096
94,Colorado,total,Bachelors_degree,69493,1237,CO,44.09375,53.29166667,64.72222222,6707.46875,26829.875,291.1746472,34940.95766,22,39,-1424800.958,34552.04234,1215933.042,27.48388717,485136.8136,26.86142298,441879.9092
95,Colorado,total,Graduate_or_professional_degree,84468,1931,CO,44.09375,53.29166667,64.72222222,0,0,0,0,26,39,-2027232,84468,1182552,32.00416834,676096.0917,30.85617928,579127.7516
108,Connecticut,total,Total,58734,1178,CT,55.14814815,25.72727273,77.125,0,0,0,0,,,,58734,,,,,
109,Connecticut,total,Less_than_high_school_graduate,31767,1063,CT,55.14814815,25.72727273,77.125,0,0,0,0,16,39,-444738,31767,762408,22.45473941,268581.7068,#DIV/0!,#DIV/0!
110,Connecticut,total,High_school_graduate_includes_equivalency,41610,793,CT,55.14814815,25.72727273,77.125,0,0,0,0,18,39,-665760,41610,915420,#DIV/0!,#DIV/0!,22.45473941,268581.7068
111,Connecticut,total,Some_college_or_associates_degree,49709,1754,CT,55.14814815,25.72727273,77.125,6185.555556,12371.11111,134.2590643,16111.08772,20,39,-910873.0877,33597.91228,978068.9123,30.2646114,593550.4803,25.98010744,380572.0731
112,Connecticut,total,Bachelors_degree,75597,1766,CT,55.14814815,25.72727273,77.125,7916.615385,31666.46154,343.6643207,41239.71848,22,39,-1553179.718,34357.28152,1319506.282,26.11056341,420700.5433,25.28956693,358635.6726
113,Connecticut,total,Graduate_or_professional_degree,92566,1859,CT,55.14814815,25.72727273,77.125,0,0,0,0,26,39,-2221584,92566,1295924,30.53269487,604705.4337,29.22492146,483650.0801
126,Delaware,total,Total,50835,878,DE,43,82,57.66666667,0,0,0,0,,,,50835,,,,,
127,Delaware,total,Less_than_high_school_graduate,34578,2306,DE,43,82,57.66666667,0,0,0,0,16,39,-484092,34578,829872,29.19267455,525332.3006,#DIV/0!,#DIV/0!
128,Delaware,total,High_school_graduate_includes_equivalency,39820,2238,DE,43,82,57.66666667,0,0,0,0,18,39,-637120,39820,876040,#DIV/0!,#DIV/0!,29.19267455,525332.3006
