State,Education_no_edit,Education,Age,Gross Salary - Loans,Median Salary,Age gross salary > Did not graduate HS,Age gross salary > HS graduate
Alabama,Less_than_high_school_graduate,Did not graduate HS,16,28515,28515,,26.16215253
Alabama,High_school_graduate_includes_equivalency,HS graduate,18,34127,34127,26.16215253,
Alabama,Some_college_or_associates_degree,Associates Degree,20,26279.48346,39501,29.58579251,33.1610563
Alabama,Bachelors_degree,Bachelors Degree,22,19421.26475,56640,27.40653281,27.71672968
Alabama,Less_than_high_school_graduate,Did not graduate HS,39,684360,,,
Alabama,High_school_graduate_includes_equivalency,HS graduate,39,750794,,,
Alabama,Some_college_or_associates_degree,Associates Degree,39,776798.4835,,,
Alabama,Bachelors_degree,Bachelors Degree,39,982301.2647,,,
Alaska,Less_than_high_school_graduate,Did not graduate HS,16,41145,41145,,-150.5789474
Alaska,High_school_graduate_includes_equivalency,HS graduate,18,40651,40651,-150.5789474,
Alaska,Some_college_or_associates_degree,Associates Degree,20,32318.49974,51499,35.74777866,27.26276735
Alaska,Bachelors_degree,Bachelors Degree,22,38202.27095,67321,30.5435792,27.18870375
Alaska,Less_than_high_school_graduate,Did not graduate HS,39,987480,,,
Alaska,High_school_graduate_includes_equivalency,HS graduate,39,894322,,,
Alaska,Some_college_or_associates_degree,Associates Degree,39,1010799.5,,,
Alaska,Bachelors_degree,Bachelors Degree,39,1182659.271,,,
Arizona,Less_than_high_school_graduate,Did not graduate HS,16,31966,31966,,25.71463303
Arizona,High_school_graduate_includes_equivalency,HS graduate,18,38547,38547,25.71463303,
Arizona,Some_college_or_associates_degree,Associates Degree,20,29704.82867,45115,28.89620285,32.08406994
Arizona,Bachelors_degree,Bachelors Degree,22,20245.78968,63471,27.45980671,27.92060706
Arizona,Less_than_high_school_graduate,Did not graduate HS,39,767184,,,
Arizona,High_school_graduate_includes_equivalency,HS graduate,39,848034,,,
Arizona,Some_college_or_associates_degree,Associates Degree,39,886889.8287,,,
Arizona,Bachelors_degree,Bachelors Degree,39,1099252.79,,,
Arkansas,Less_than_high_school_graduate,Did not graduate HS,16,30770,30770,,32.42380571
Arkansas,High_school_graduate_includes_equivalency,HS graduate,18,34517,34517,32.42380571,
Arkansas,Some_college_or_associates_degree,Associates Degree,20,27006.16732,38814,34.76875096,36.81355194
Arkansas,Bachelors_degree,Bachelors Degree,22,19657.26324,53117,29.75879253,29.22192133
Arkansas,Less_than_high_school_graduate,Did not graduate HS,39,738480,,,
Arkansas,High_school_graduate_includes_equivalency,HS graduate,39,759374,,,
Arkansas,Some_college_or_associates_degree,Associates Degree,39,764472.1673,,,
Arkansas,Bachelors_degree,Bachelors Degree,39,922646.2632,,,
California,Less_than_high_school_graduate,Did not graduate HS,16,30843,30843,,24.04879958
California,High_school_graduate_includes_equivalency,HS graduate,18,38507,38507,24.04879958,
California,Some_college_or_associates_degree,Associates Degree,20,30017.43039,47535,26.44054455,28.4709315
California,Bachelors_degree,Bachelors Degree,22,39393.52924,75688,24.93594538,25.1188099
California,Less_than_high_school_graduate,Did not graduate HS,39,740232,,,
California,High_school_graduate_includes_equivalency,HS graduate,39,847154,,,
California,Some_college_or_associates_degree,Associates Degree,39,933182.4304,,,
California,Bachelors_degree,Bachelors Degree,39,1326089.529,,,
Colorado,Less_than_high_school_graduate,Did not graduate HS,16,34357,34357,,24.7112069
Colorado,High_school_graduate_includes_equivalency,HS graduate,18,42245,42245,24.7112069,
Colorado,Some_college_or_associates_degree,Associates Degree,20,29616.54368,46542,30.66749744,41.60145597
Colorado,Bachelors_degree,Bachelors Degree,22,34552.04234,69493,26.86142298,27.48388717
Colorado,Less_than_high_school_graduate,Did not graduate HS,39,824568,,,
Colorado,High_school_graduate_includes_equivalency,HS graduate,39,929390,,,
Colorado,Some_college_or_associates_degree,Associates Degree,39,913914.5437,,,
Colorado,Bachelors_degree,Bachelors Degree,39,1215933.042,,,
Connecticut,Less_than_high_school_graduate,Did not graduate HS,16,31767,31767,,22.45473941
Connecticut,High_school_graduate_includes_equivalency,HS graduate,18,41610,41610,22.45473941,
Connecticut,Some_college_or_associates_degree,Associates Degree,20,33597.91228,49709,25.98010744,30.2646114
Connecticut,Bachelors_degree,Bachelors Degree,22,34357.28152,75597,25.28956693,26.11056341
Connecticut,Less_than_high_school_graduate,Did not graduate HS,39,762408,,,
Connecticut,High_school_graduate_includes_equivalency,HS graduate,39,915420,,,
Connecticut,Some_college_or_associates_degree,Associates Degree,39,978068.9123,,,
Connecticut,Bachelors_degree,Bachelors Degree,39,1319506.282,,,
Delaware,Less_than_high_school_graduate,Did not graduate HS,16,34578,34578,,29.19267455
Delaware,High_school_graduate_includes_equivalency,HS graduate,18,39820,39820,29.19267455,
Delaware,Some_college_or_associates_degree,Associates Degree,20,24794.71341,44530,33.88095725,39.09878696
Delaware,Bachelors_degree,Bachelors Degree,22,29258.82791,64139,28.19823998,27.98388799
Delaware,Less_than_high_school_graduate,Did not graduate HS,39,829872,,,
Delaware,High_school_graduate_includes_equivalency,HS graduate,39,876040,,,
Delaware,Some_college_or_associates_degree,Associates Degree,39,870864.7134,,,
Delaware,Bachelors_degree,Bachelors Degree,39,1119621.828,,,
District_of_Columbia,Less_than_high_school_graduate,Did not graduate HS,16,26970,26970,,20.63840399
District_of_Columbia,High_school_graduate_includes_equivalency,HS graduate,18,38599,38599,20.63840399,
District_of_Columbia,Some_college_or_associates_degree,Associates Degree,20,31107.16061,48566,23.80379882,27.49702412
District_of_Columbia,Bachelors_degree,Bachelors Degree,22,49402.06213,83903,23.44828022,24.16954216
District_of_Columbia,Less_than_high_school_graduate,Did not graduate HS,39,647280,,,
District_of_Columbia,High_school_graduate_includes_equivalency,HS graduate,39,849178,,,
District_of_Columbia,Some_college_or_associates_degree,Associates Degree,39,953861.1606,,,
District_of_Columbia,Bachelors_degree,Bachelors Degree,39,1475753.062,,,
Florida,Less_than_high_school_graduate,Did not graduate HS,16,28063,28063,,24.36951983
Florida,High_school_graduate_includes_equivalency,HS graduate,18,34769,34769,24.36951983,
Florida,Some_college_or_associates_degree,Associates Degree,20,21458.86609,41565,27.80285394,31.19072012
Florida,Bachelors_degree,Bachelors Degree,22,20427.15353,56243,27.24605559,28.14435347
Florida,Less_than_high_school_graduate,Did not graduate HS,39,673512,,,
Florida,High_school_graduate_includes_equivalency,HS graduate,39,764918,,,
Florida,Some_college_or_associates_degree,Associates Degree,39,811193.8661,,,
Florida,Bachelors_degree,Bachelors Degree,39,976558.1535,,,
Georgia,Less_than_high_school_graduate,Did not graduate HS,16,30325,30325,,26.91809181
Georgia,High_school_graduate_includes_equivalency,HS graduate,18,35880,35880,26.91809181,
Georgia,Some_college_or_associates_degree,Associates Degree,20,26467.07434,42139,29.59403468,31.96899276
Georgia,Bachelors_degree,Bachelors Degree,22,28552.7687,63803,26.48784967,26.40225733
Georgia,Less_than_high_school_graduate,Did not graduate HS,39,727800,,,
Georgia,High_school_graduate_includes_equivalency,HS graduate,39,789360,,,
Georgia,Some_college_or_associates_degree,Associates Degree,39,827108.0743,,,
Georgia,Bachelors_degree,Bachelors Degree,39,1113203.769,,,
Hawaii,Less_than_high_school_graduate,Did not graduate HS,16,29829,29829,,21.13761626
Hawaii,High_school_graduate_includes_equivalency,HS graduate,18,41441,41441,21.13761626,
Hawaii,Some_college_or_associates_degree,Associates Degree,20,31522.19464,46737,25.95663623,36.52281068
Hawaii,Bachelors_degree,Bachelors Degree,22,28661.19158,61880,26.62047388,29.73544735
Hawaii,Less_than_high_school_graduate,Did not graduate HS,39,715896,,,
Hawaii,High_school_graduate_includes_equivalency,HS graduate,39,911702,,,
Hawaii,Some_college_or_associates_degree,Associates Degree,39,919525.1946,,,
Hawaii,Bachelors_degree,Bachelors Degree,39,1080621.192,,,
Idaho,Less_than_high_school_graduate,Did not graduate HS,16,35192,35192,,47.79042457
Idaho,High_school_graduate_includes_equivalency,HS graduate,18,37406,37406,47.79042457,
Idaho,Some_college_or_associates_degree,Associates Degree,20,24784.72865,40546,47.23594908,46.84499088
Idaho,Bachelors_degree,Bachelors Degree,22,22297.31276,54796,32.42862106,30.47283998
Idaho,Less_than_high_school_graduate,Did not graduate HS,39,844608,,,
Idaho,High_school_graduate_includes_equivalency,HS graduate,39,822932,,,
Idaho,Some_college_or_associates_degree,Associates Degree,39,795158.7287,,,
Idaho,Bachelors_degree,Bachelors Degree,39,953829.3128,,,
Illinois,Less_than_high_school_graduate,Did not graduate HS,16,31826,31826,,25.17175793
Illinois,High_school_graduate_includes_equivalency,HS graduate,18,38766,38766,25.17175793,
Illinois,Some_college_or_associates_degree,Associates Degree,20,31083.51829,44169,29.37401618,34.77169752
Illinois,Bachelors_degree,Bachelors Degree,22,33480.63272,68489,26.16328089,26.39479081
Illinois,Less_than_high_school_graduate,Did not graduate HS,39,763824,,,
Illinois,High_school_graduate_includes_equivalency,HS graduate,39,852852,,,
Illinois,Some_college_or_associates_degree,Associates Degree,39,870294.5183,,,
Illinois,Bachelors_degree,Bachelors Degree,39,1197793.633,,,
Indiana,Less_than_high_school_graduate,Did not graduate HS,16,32019,32019,,25.80073462
Indiana,High_school_graduate_includes_equivalency,HS graduate,18,38553,38553,25.80073462,
Indiana,Some_college_or_associates_degree,Associates Degree,20,23602.41946,44403,30.02168771,34.73616761
Indiana,Bachelors_degree,Bachelors Degree,22,23603.58092,58609,28.54153513,29.43445448
Indiana,Less_than_high_school_graduate,Did not graduate HS,39,768456,,,
Indiana,High_school_graduate_includes_equivalency,HS graduate,39,848166,,,
Indiana,Some_college_or_associates_degree,Associates Degree,39,867259.4195,,,
Indiana,Bachelors_degree,Bachelors Degree,39,1019956.581,,,
Iowa,Less_than_high_school_graduate,Did not graduate HS,16,32968,32968,,26.18946067
Iowa,High_school_graduate_includes_equivalency,HS graduate,18,39439,39439,26.18946067,
Iowa,Some_college_or_associates_degree,Associates Degree,20,30122.96549,45837,29.46833744,32.78462559
Iowa,Bachelors_degree,Bachelors Degree,22,17864.35612,58561,29.31913585,30.37823679
Iowa,Less_than_high_school_graduate,Did not graduate HS,39,791232,,,
Iowa,High_school_graduate_includes_equivalency,HS graduate,39,867658,,,
Iowa,Some_college_or_associates_degree,Associates Degree,39,901025.9655,,,
Iowa,Bachelors_degree,Bachelors Degree,39,1013401.356,,,
Kansas,Less_than_high_school_graduate,Did not graduate HS,16,32838,32838,,33.18817064
Kansas,High_school_graduate_includes_equivalency,HS graduate,18,36659,36659,33.18817064,
Kansas,Some_college_or_associates_degree,Associates Degree,20,28287.83062,42026,33.79126789,34.22063898
Kansas,Bachelors_degree,Bachelors Degree,22,25059.66684,58583,28.9551887,28.21744815
Kansas,Less_than_high_school_graduate,Did not graduate HS,39,788112,,,
Kansas,High_school_graduate_includes_equivalency,HS graduate,39,806498,,,
Kansas,Some_college_or_associates_degree,Associates Degree,39,826781.8306,,,
Kansas,Bachelors_degree,Bachelors Degree,39,1020970.667,,,
Kentucky,Less_than_high_school_graduate,Did not graduate HS,16,27314,27314,,22.83961437
Kentucky,High_school_graduate_includes_equivalency,HS graduate,18,35301,35301,22.83961437,
Kentucky,Some_college_or_associates_degree,Associates Degree,20,26930.79799,40667,27.21082918,33.71714536
Kentucky,Bachelors_degree,Bachelors Degree,22,19910.9791,55682,27.03803655,28.68333354
Kentucky,Less_than_high_school_graduate,Did not graduate HS,39,655536,,,
Kentucky,High_school_graduate_includes_equivalency,HS graduate,39,776622,,,
Kentucky,Some_college_or_associates_degree,Associates Degree,39,799603.798,,,
Kentucky,Bachelors_degree,Bachelors Degree,39,966504.9791,,,
Louisiana,Less_than_high_school_graduate,Did not graduate HS,16,25977,25977,,22.84415755
Louisiana,High_school_graduate_includes_equivalency,HS graduate,18,33568,33568,22.84415755,
Louisiana,Some_college_or_associates_degree,Associates Degree,20,23975.86799,40916,26.08943919,29.44204301
Louisiana,Bachelors_degree,Bachelors Degree,22,23963.80413,55685,26.31423172,27.50523108
Louisiana,Less_than_high_school_graduate,Did not graduate HS,39,623448,,,
Louisiana,High_school_graduate_includes_equivalency,HS graduate,39,738496,,,
Louisiana,Some_college_or_associates_degree,Associates Degree,39,801379.868,,,
Louisiana,Bachelors_degree,Bachelors Degree,39,970608.8041,,,
Maine,Less_than_high_school_graduate,Did not graduate HS,16,31011,31011,,27.56263982
Maine,High_school_graduate_includes_equivalency,HS graduate,18,36375,36375,27.56263982,
Maine,Some_college_or_associates_degree,Associates Degree,20,28536.17771,43898,28.8175543,29.71232518
Maine,Bachelors_degree,Bachelors Degree,22,13004.27986,53866,29.9290186,30.65472072
Maine,Less_than_high_school_graduate,Did not graduate HS,39,744264,,,
Maine,High_school_graduate_includes_equivalency,HS graduate,39,800250,,,
Maine,Some_college_or_associates_degree,Associates Degree,39,862598.1777,,,
Maine,Bachelors_degree,Bachelors Degree,39,928726.2799,,,
Maryland,Less_than_high_school_graduate,Did not graduate HS,16,33805,33805,,25.54539037
Maryland,High_school_graduate_includes_equivalency,HS graduate,18,40888,40888,25.54539037,
Maryland,Some_college_or_associates_degree,Associates Degree,20,37228.22518,50548,26.87175386,27.84428311
Maryland,Bachelors_degree,Bachelors Degree,22,40414.11719,76711,25.57327373,25.57878689
Maryland,Less_than_high_school_graduate,Did not graduate HS,39,811320,,,
Maryland,High_school_graduate_includes_equivalency,HS graduate,39,899536,,,
Maryland,Some_college_or_associates_degree,Associates Degree,39,997640.2252,,,
Maryland,Bachelors_degree,Bachelors Degree,39,1344501.117,,,
Massachusetts,Less_than_high_school_graduate,Did not graduate HS,16,34472,34472,,24.92594511
Massachusetts,High_school_graduate_includes_equivalency,HS graduate,18,42196,42196,24.92594511,
Massachusetts,Some_college_or_associates_degree,Associates Degree,20,34885.80643,49021,28.4490476,32.43621884
Massachusetts,Bachelors_degree,Bachelors Degree,22,35012.27248,77137,25.83515124,26.03613885
Massachusetts,Less_than_high_school_graduate,Did not graduate HS,39,827328,,,
Massachusetts,High_school_graduate_includes_equivalency,HS graduate,39,928312,,,
Massachusetts,Some_college_or_associates_degree,Associates Degree,39,966284.8064,,,
Massachusetts,Bachelors_degree,Bachelors Degree,39,1346341.272,,,
Michigan,Less_than_high_school_graduate,Did not graduate HS,16,30404,30404,,27.13495697
Michigan,High_school_graduate_includes_equivalency,HS graduate,18,35865,35865,27.13495697,
Michigan,Some_college_or_associates_degree,Associates Degree,20,27337.10627,41762,29.97753951,32.60995315
Michigan,Bachelors_degree,Bachelors Degree,22,24184.54851,63077,26.77368015,26.70117784
Michigan,Less_than_high_school_graduate,Did not graduate HS,39,729696,,,
Michigan,High_school_graduate_includes_equivalency,HS graduate,39,789030,,,
Michigan,Some_college_or_associates_degree,Associates Degree,39,820815.1063,,,
Michigan,Bachelors_degree,Bachelors Degree,39,1096493.549,,,
Minnesota,Less_than_high_school_graduate,Did not graduate HS,16,33274,33274,,25.89855719
Minnesota,High_school_graduate_includes_equivalency,HS graduate,18,39997,39997,25.89855719,
Minnesota,Some_college_or_associates_degree,Associates Degree,20,34489.8232,49014,27.37866435,28.4822199
Minnesota,Bachelors_degree,Bachelors Degree,22,24179.8836,68504,26.9250104,27.16708585
Minnesota,Less_than_high_school_graduate,Did not graduate HS,39,798576,,,
Minnesota,High_school_graduate_includes_equivalency,HS graduate,39,879934,,,
Minnesota,Some_college_or_associates_degree,Associates Degree,39,965755.8232,,,
Minnesota,Bachelors_degree,Bachelors Degree,39,1188747.884,,,
Mississippi,Less_than_high_school_graduate,Did not graduate HS,16,26775,26775,,24.90422348
Mississippi,High_school_graduate_includes_equivalency,HS graduate,18,32789,32789,24.90422348,
Mississippi,Some_college_or_associates_degree,Associates Degree,20,26723.26714,37485,29.00483033,34.25633153
Mississippi,Bachelors_degree,Bachelors Degree,22,17800.82807,50731,28.08065503,29.14536684
Mississippi,Less_than_high_school_graduate,Did not graduate HS,39,642600,,,
Mississippi,High_school_graduate_includes_equivalency,HS graduate,39,721358,,,
Mississippi,Some_college_or_associates_degree,Associates Degree,39,738938.2671,,,
Mississippi,Bachelors_degree,Bachelors Degree,39,880227.8281,,,
Missouri,Less_than_high_school_graduate,Did not graduate HS,16,28414,28414,,23.89497083
Missouri,High_school_graduate_includes_equivalency,HS graduate,18,35612,35612,23.89497083,
Missouri,Some_college_or_associates_degree,Associates Degree,20,27835.04068,41874,27.48699549,31.6159309
Missouri,Bachelors_degree,Bachelors Degree,22,22270.20565,57693,27.03257606,28.05537767
Missouri,Less_than_high_school_graduate,Did not graduate HS,39,681936,,,
Missouri,High_school_graduate_includes_equivalency,HS graduate,39,783464,,,
Missouri,Some_college_or_associates_degree,Associates Degree,39,823441.0407,,,
Missouri,Bachelors_degree,Bachelors Degree,39,1003051.206,,,
Montana,Less_than_high_school_graduate,Did not graduate HS,16,30133,30133,,26.87637611
Montana,High_school_graduate_includes_equivalency,HS graduate,18,35674,35674,26.87637611,
Montana,Some_college_or_associates_degree,Associates Degree,20,25820.11115,39948,31.71980528,37.9990381
Montana,Bachelors_degree,Bachelors Degree,22,18647.25158,50894,30.26177681,31.49426731
Montana,Less_than_high_school_graduate,Did not graduate HS,39,723192,,,
Montana,High_school_graduate_includes_equivalency,HS graduate,39,784828,,,
Montana,Some_college_or_associates_degree,Associates Degree,39,784832.1112,,,
Montana,Bachelors_degree,Bachelors Degree,39,883845.2516,,,
Nebraska,Less_than_high_school_graduate,Did not graduate HS,16,33308,33308,,28.22311927
Nebraska,High_school_graduate_includes_equivalency,HS graduate,18,38758,38758,28.22311927,
Nebraska,Some_college_or_associates_degree,Associates Degree,20,28443.97287,44111,31.78311831,35.40762696
Nebraska,Bachelors_degree,Bachelors Degree,22,22539.42984,58817,29.25655926,29.53734335
Nebraska,Less_than_high_school_graduate,Did not graduate HS,39,799392,,,
Nebraska,High_school_graduate_includes_equivalency,HS graduate,39,852676,,,
Nebraska,Some_college_or_associates_degree,Associates Degree,39,866552.9729,,,
Nebraska,Bachelors_degree,Bachelors Degree,39,1022428.43,,,
Nevada,Less_than_high_school_graduate,Did not graduate HS,16,34591,34591,,39.13779264
Nevada,High_school_graduate_includes_equivalency,HS graduate,18,37581,37581,39.13779264,
Nevada,Some_college_or_associates_degree,Associates Degree,20,24522.77912,43743,35.2185556,33.31681611
Nevada,Bachelors_degree,Bachelors Degree,22,24703.41299,59999,29.55768211,28.27993519
Nevada,Less_than_high_school_graduate,Did not graduate HS,39,830184,,,
Nevada,High_school_graduate_includes_equivalency,HS graduate,39,826782,,,
Nevada,Some_college_or_associates_degree,Associates Degree,39,855639.7791,,,
Nevada,Bachelors_degree,Bachelors Degree,39,1044686.413,,,
New_Hampshire,Less_than_high_school_graduate,Did not graduate HS,16,38365,38365,,35.32745592
New_Hampshire,High_school_graduate_includes_equivalency,HS graduate,18,42335,42335,35.32745592,
New_Hampshire,Some_college_or_associates_degree,Associates Degree,20,34309.90592,48955,33.87394656,33.00228007
New_Hampshire,Bachelors_degree,Bachelors Degree,22,28768.91316,67982,29.09623145,28.13167571
New_Hampshire,Less_than_high_school_graduate,Did not graduate HS,39,920760,,,
New_Hampshire,High_school_graduate_includes_equivalency,HS graduate,39,931370,,,
New_Hampshire,Some_college_or_associates_degree,Associates Degree,39,964454.9059,,,
New_Hampshire,Bachelors_degree,Bachelors Degree,39,1184462.913,,,
New_Jersey,Less_than_high_school_graduate,Did not graduate HS,16,31962,31962,,23.76624954
New_Jersey,High_school_graduate_includes_equivalency,HS graduate,18,40193,40193,23.76624954,
New_Jersey,Some_college_or_associates_degree,Associates Degree,20,34602.13183,50489,25.75812966,27.35051167
New_Jersey,Bachelors_degree,Bachelors Degree,22,38159.919,76725,25.1457025,25.4565061
New_Jersey,Less_than_high_school_graduate,Did not graduate HS,39,767088,,,
New_Jersey,High_school_graduate_includes_equivalency,HS graduate,39,884246,,,
New_Jersey,Some_college_or_associates_degree,Associates Degree,39,993893.1318,,,
New_Jersey,Bachelors_degree,Bachelors Degree,39,1342484.919,,,
New_Mexico,Less_than_high_school_graduate,Did not graduate HS,16,26396,26396,,25.48643306
New_Mexico,High_school_graduate_includes_equivalency,HS graduate,18,31961,31961,25.48643306,
New_Mexico,Some_college_or_associates_degree,Associates Degree,20,27473.2186,39701,26.85469984,27.83847305
New_Mexico,Bachelors_degree,Bachelors Degree,22,24062.78546,55322,26.55587411,26.81063373
New_Mexico,Less_than_high_school_graduate,Did not graduate HS,39,633504,,,
New_Mexico,High_school_graduate_includes_equivalency,HS graduate,39,703142,,,
New_Mexico,Some_college_or_associates_degree,Associates Degree,39,781792.2186,,,
New_Mexico,Bachelors_degree,Bachelors Degree,39,964536.7855,,,
New_York,Less_than_high_school_graduate,Did not graduate HS,16,29259,29259,,23.20842572
New_York,High_school_graduate_includes_equivalency,HS graduate,18,37377,37377,23.20842572,
New_York,Some_college_or_associates_degree,Associates Degree,20,30851.25784,46298,25.77526511,28.1110573
New_York,Bachelors_degree,Bachelors Degree,22,31419.93489,71567,25.09835173,25.5470917
New_York,Less_than_high_school_graduate,Did not graduate HS,39,702216,,,
New_York,High_school_graduate_includes_equivalency,HS graduate,39,822294,,,
New_York,Some_college_or_associates_degree,Associates Degree,39,910513.2578,,,
New_York,Bachelors_degree,Bachelors Degree,39,1248058.935,,,
North_Carolina,Less_than_high_school_graduate,Did not graduate HS,16,30324,30324,,28.26450961
North_Carolina,High_school_graduate_includes_equivalency,HS graduate,18,35269,35269,28.26450961,
North_Carolina,Some_college_or_associates_degree,Associates Degree,20,23511.67418,41354,30.61453543,32.52429348
North_Carolina,Bachelors_degree,Bachelors Degree,22,21715.63953,59713,27.48379872,27.32586158
North_Carolina,Less_than_high_school_graduate,Did not graduate HS,39,727776,,,
North_Carolina,High_school_graduate_includes_equivalency,HS graduate,39,775918,,,
North_Carolina,Some_college_or_associates_degree,Associates Degree,39,809237.6742,,,
North_Carolina,Bachelors_degree,Bachelors Degree,39,1036836.64,,,
North_Dakota,Less_than_high_school_graduate,Did not graduate HS,16,41762,41762,,-17.25
North_Dakota,High_school_graduate_includes_equivalency,HS graduate,18,39250,39250,-17.25,
North_Dakota,Some_college_or_associates_degree,Associates Degree,20,28547.96115,47258,51.7987698,30.13911574
North_Dakota,Bachelors_degree,Bachelors Degree,22,16053.32292,56830,39.33559046,31.2500954
North_Dakota,Less_than_high_school_graduate,Did not graduate HS,39,1002288,,,
North_Dakota,High_school_graduate_includes_equivalency,HS graduate,39,863500,,,
North_Dakota,Some_college_or_associates_degree,Associates Degree,39,926449.9612,,,
North_Dakota,Bachelors_degree,Bachelors Degree,39,982163.3229,,,
Ohio,Less_than_high_school_graduate,Did not graduate HS,16,30152,30152,,24.91148219
Ohio,High_school_graduate_includes_equivalency,HS graduate,18,36919,36919,24.91148219,
Ohio,Some_college_or_associates_degree,Associates Degree,20,26964.04708,42690,28.87366031,33.51965914
Ohio,Bachelors_degree,Bachelors Degree,22,28350.43539,62605,26.63009782,27.08286867
Ohio,Less_than_high_school_graduate,Did not graduate HS,39,723648,,,
Ohio,High_school_graduate_includes_equivalency,HS graduate,39,812218,,,
Ohio,Some_college_or_associates_degree,Associates Degree,39,838074.0471,,,
Ohio,Bachelors_degree,Bachelors Degree,39,1092635.435,,,
Oklahoma,Less_than_high_school_graduate,Did not graduate HS,16,30354,30354,,28.19525914
Oklahoma,High_school_graduate_includes_equivalency,HS graduate,18,35332,35332,28.19525914,
Oklahoma,Some_college_or_associates_degree,Associates Degree,20,25707.95886,40237,31.75544279,35.36861185
Oklahoma,Bachelors_degree,Bachelors Degree,22,19369.78283,53732,29.26025396,29.54838137
Oklahoma,Less_than_high_school_graduate,Did not graduate HS,39,728496,,,
Oklahoma,High_school_graduate_includes_equivalency,HS graduate,39,777304,,,
Oklahoma,Some_college_or_associates_degree,Associates Degree,39,790210.9589,,,
Oklahoma,Bachelors_degree,Bachelors Degree,39,932813.7828,,,
Oregon,Less_than_high_school_graduate,Did not graduate HS,16,30994,30994,,25.85500795
Oregon,High_school_graduate_includes_equivalency,HS graduate,18,37284,37284,25.85500795,
Oregon,Some_college_or_associates_degree,Associates Degree,20,27389.34535,42769,29.83487513,34.39884315
Oregon,Bachelors_degree,Bachelors Degree,22,24962.03315,62676,27.06009617,27.35861558
Oregon,Less_than_high_school_graduate,Did not graduate HS,39,743856,,,
Oregon,High_school_graduate_includes_equivalency,HS graduate,39,820248,,,
