,state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
0,Alabama,Less_than_high_school_graduate,,28515.0,1683.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,0.0,0.0,0.0,0.0,16.0,-427725.0,28515.0,684360.0,,total
1,Alabama,High_school_graduate_includes_equivalency,,34127.0,1153.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,0.0,0.0,0.0,0.0,18.0,-580159.0,34127.0,750794.0,,total
2,Alabama,Some_college_or_associates_degree,,39501.0,944.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,5076.1578947368425,10152.315789473685,110.17930453109895,13221.516543731874,20.0,-763740.5165437319,26279.483456268128,776798.4834562681,,total
156,Alabama,Bachelors_degree,Combined_25_to_39_years,54366.0,1493.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1178904.7352517145,17147.26474828545,941369.2647482854,25_to_39_years,
158,Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,53005.0,3844.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1150323.7352517145,15786.264748285452,916871.2647482854,25_to_39_years,
165,Alabama,Bachelors_degree,Business,59018.0,2476.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1276596.7352517145,21799.26474828545,1025105.2647482854,25_to_39_years,
170,Alabama,Bachelors_degree,Communications,44332.0,6685.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-968190.7352517146,7113.264748285452,760757.2647482854,25_to_39_years,
157,Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics,64515.0,12010.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1392033.7352517145,27296.26474828545,1124051.2647482855,25_to_39_years,
166,Alabama,Bachelors_degree,Education,47996.0,3019.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1045134.7352517146,10777.264748285452,826709.2647482854,25_to_39_years,
162,Alabama,Bachelors_degree,Engineering,84357.0,6280.0,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1808715.7352517145,47138.26474828545,1481207.2647482855,25_to_39_years,
