State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
Alabama,Less_than_high_school_graduate,,16,28515,28515,,27.16215253
Alabama,High_school_graduate_includes_equivalency,,18,34127,34127,27.16215253,
Alabama,Some_college_or_associates_degree,,20,39501,26279.483456268128,30.58579251,34.1610563
Alabama,Bachelors_degree,Combined_25_to_39_years,22,54366,17147.26474828545,29.05805328,29.58376082
Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,53005,15786.264748285452,29.50586914,30.20260278
Alabama,Bachelors_degree,Business,22,59018,21799.26474828545,27.82912288,27.97950003
Alabama,Bachelors_degree,Communications,22,44332,7113.264748285452,34.16992699,38.02368792
Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics,22,64515,27296.26474828545,26.78635376,26.71695193
Alabama,Bachelors_degree,Education,22,47996,10777.264748285452,31.69291798,33.52626255
Alabama,Bachelors_degree,Engineering,22,84357,47138.26474828545,24.73032369,24.45862503
Alabama,Bachelors_degree,Liberal_Arts_and_History,22,49751,12532.264748285452,30.80922656,32.11922269
Alabama,Bachelors_degree,Literature_and_Languages,22,45636,8417.264748285452,33.16685563,36.09485926
Alabama,Bachelors_degree,Multidisciplinary_Studies,22,46004,8785.264748285452,32.91084312,35.62715629
Alabama,Bachelors_degree,Other,22,48237,11018.264748285452,31.56225207,33.31231292
Alabama,Bachelors_degree,Physical_and_Related_Sciences,22,42097,4878.264748285452,36.3371179,42.79758284
Alabama,Bachelors_degree,Psychology,22,48988,11769.264748285452,31.17480268,32.69011071
Alabama,Bachelors_degree,Science_and_Engineering_Related_Fields,22,63414,26195.26474828545,26.9689027,26.931872
Alabama,Bachelors_degree,Social_Sciences,22,53549,16330.264748285452,29.32103281,29.94484272
Alabama,Bachelors_degree,Visual_and_Performing_Arts,22,41332,4113.264748285452,37.25253454,45.11196881
Alabama,Less_than_high_school_graduate,,39,28515,684360,,
Alabama,High_school_graduate_includes_equivalency,,39,34127,750794,,
Alabama,Some_college_or_associates_degree,,39,39501,776798.4834562681,,
Alabama,Bachelors_degree,Combined_25_to_39_years,39,54366,941369.2647482854,,
Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,53005,916871.2647482854,,
Alabama,Bachelors_degree,Business,39,59018,1025105.2647482854,,
Alabama,Bachelors_degree,Communications,39,44332,760757.2647482854,,
Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics,39,64515,1124051.2647482855,,
Alabama,Bachelors_degree,Education,39,47996,826709.2647482854,,
Alabama,Bachelors_degree,Engineering,39,84357,1481207.2647482855,,
Alabama,Bachelors_degree,Liberal_Arts_and_History,39,49751,858299.2647482854,,
Alabama,Bachelors_degree,Literature_and_Languages,39,45636,784229.2647482854,,
Alabama,Bachelors_degree,Multidisciplinary_Studies,39,46004,790853.2647482854,,
Alabama,Bachelors_degree,Other,39,48237,831047.2647482854,,
Alabama,Bachelors_degree,Physical_and_Related_Sciences,39,42097,720527.2647482854,,
Alabama,Bachelors_degree,Psychology,39,48988,844565.2647482854,,
Alabama,Bachelors_degree,Science_and_Engineering_Related_Fields,39,63414,1104233.2647482855,,
Alabama,Bachelors_degree,Social_Sciences,39,53549,926663.2647482854,,
Alabama,Bachelors_degree,Visual_and_Performing_Arts,39,41332,706757.2647482854,,
Alaska,Less_than_high_school_graduate,,16,41145,41145,,-149.5789474
Alaska,High_school_graduate_includes_equivalency,,18,40651,40651,-149.5789474,
Alaska,Some_college_or_associates_degree,,20,51499,32318.499738376635,36.74777866,28.26276735
Alaska,Bachelors_degree,Combined_25_to_39_years,22,65259,36140.27094991247,32.44516584,28.79107319
Alaska,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,64688,35569.27094991247,32.7227511,28.97615048
Alaska,Bachelors_degree,Business,22,73420,44301.27094991247,29.55116124,26.85073481
Alaska,Bachelors_degree,Communications,22,56281,27162.27094991247,39.23392766,33.26632943
Alaska,Bachelors_degree,Computers_Mathematics_and_Statistics,22,76786,47667.27094991247,28.74357423,26.30573486
Alaska,Bachelors_degree,Education,22,63555,34436.27094991247,33.31542745,29.37070944
Alaska,Bachelors_degree,Engineering,22,92910,63791.27094991247,26.33157015,24.6687026
Alaska,Bachelors_degree,Liberal_Arts_and_History,22,63558,34439.27094991247,33.31377901,29.36961318
Alaska,Bachelors_degree,Literature_and_Languages,22,59733,30614.27094991247,35.84768286,31.04730788
Alaska,Bachelors_degree,Multidisciplinary_Studies,22,71236,42117.27094991247,30.17180317,27.26852147
Alaska,Bachelors_degree,Other,22,62025,32906.27094991247,34.21785101,29.96990404
Alaska,Bachelors_degree,Physical_and_Related_Sciences,22,67957,38838.27094991247,31.29347788,28.02126745
Alaska,Bachelors_degree,Psychology,22,70578,41459.27094991247,30.3768467,27.40634641
Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields,22,62289,33170.27094991247,34.05281541,29.86046442
Alaska,Bachelors_degree,Social_Sciences,22,64250,35131.27094991247,32.94497853,29.1241887
Alaska,Bachelors_degree,Visual_and_Performing_Arts,22,38038,8919.270949912468,-67.82804282,-52.37264793
Alaska,Less_than_high_school_graduate,,39,41145,987480,,
Alaska,High_school_graduate_includes_equivalency,,39,40651,894322,,
Alaska,Some_college_or_associates_degree,,39,51499,1010799.4997383766,,
Alaska,Bachelors_degree,Combined_25_to_39_years,39,65259,1145543.2709499125,,
Alaska,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,64688,1135265.2709499125,,
Alaska,Bachelors_degree,Business,39,73420,1292441.2709499125,,
Alaska,Bachelors_degree,Communications,39,56281,983939.2709499125,,
Alaska,Bachelors_degree,Computers_Mathematics_and_Statistics,39,76786,1353029.2709499125,,
Alaska,Bachelors_degree,Education,39,63555,1114871.2709499125,,
Alaska,Bachelors_degree,Engineering,39,92910,1643261.2709499125,,
Alaska,Bachelors_degree,Liberal_Arts_and_History,39,63558,1114925.2709499125,,
Alaska,Bachelors_degree,Literature_and_Languages,39,59733,1046075.2709499125,,
Alaska,Bachelors_degree,Multidisciplinary_Studies,39,71236,1253129.2709499125,,
Alaska,Bachelors_degree,Other,39,62025,1087331.2709499125,,
Alaska,Bachelors_degree,Physical_and_Related_Sciences,39,67957,1194107.2709499125,,
Alaska,Bachelors_degree,Psychology,39,70578,1241285.2709499125,,
Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields,39,62289,1092083.2709499125,,
Alaska,Bachelors_degree,Social_Sciences,39,64250,1127381.2709499125,,
Alaska,Bachelors_degree,Visual_and_Performing_Arts,39,38038,655565.2709499125,,
Arizona,Less_than_high_school_graduate,,16,31966,31966,,26.71463303
Arizona,High_school_graduate_includes_equivalency,,18,38547,38547,26.71463303,
Arizona,Some_college_or_associates_degree,,20,45115,29704.82866524005,29.89620285,33.08406994
Arizona,Bachelors_degree,Combined_25_to_39_years,22,60743,17517.789683548588,29.16698093,29.89408949
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,54925,11699.789683548588,31.23656128,33.05356028
Arizona,Bachelors_degree,Business,22,66060,22834.789683548588,27.89333051,28.17527025
Arizona,Bachelors_degree,Communications,22,55536,12310.789683548588,30.97120112,32.62006065
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,22,82391,39165.78968354859,25.66080734,25.50262773
Arizona,Bachelors_degree,Education,22,51036,7810.789683548588,33.32413269,36.80696696
Arizona,Bachelors_degree,Engineering,22,86615,43389.78968354859,25.3005583,25.10695703
Arizona,Bachelors_degree,Liberal_Arts_and_History,22,56760,13534.789683548588,30.478955,31.83913745
Arizona,Bachelors_degree,Literature_and_Languages,22,52459,9233.789683548588,32.46836531,35.19013875
Arizona,Bachelors_degree,Multidisciplinary_Studies,22,54175,10949.789683548588,31.5822509,33.63202011
Arizona,Bachelors_degree,Other,22,56087,12861.789683548588,30.74342732,32.25502909
Arizona,Bachelors_degree,Physical_and_Related_Sciences,22,62316,19090.789683548588,28.74369721,29.30549078
Arizona,Bachelors_degree,Psychology,22,53281,10055.789683548588,32.02609478,34.39848041
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,22,62915,19689.789683548588,28.59382243,29.10133004
Arizona,Bachelors_degree,Social_Sciences,22,59144,15918.789683548588,29.64747996,30.58456136
Arizona,Bachelors_degree,Visual_and_Performing_Arts,22,47658,4432.789683548588,35.9771355,42.66756781
Arizona,Less_than_high_school_graduate,,39,31966,767184,,
Arizona,High_school_graduate_includes_equivalency,,39,38547,848034,,
Arizona,Some_college_or_associates_degree,,39,45115,886889.8286652401,,
Arizona,Bachelors_degree,Combined_25_to_39_years,39,60743,1050148.7896835485,,
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,39,54925,945424.7896835486,,
Arizona,Bachelors_degree,Business,39,66060,1145854.7896835485,,
Arizona,Bachelors_degree,Communications,39,55536,956422.7896835486,,
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,39,82391,1439812.7896835485,,
Arizona,Bachelors_degree,Education,39,51036,875422.7896835486,,
Arizona,Bachelors_degree,Engineering,39,86615,1515844.7896835485,,
Arizona,Bachelors_degree,Liberal_Arts_and_History,39,56760,978454.7896835486,,
Arizona,Bachelors_degree,Literature_and_Languages,39,52459,901036.7896835486,,
