State,Education,Major
Alabama,Less_than_high_school_graduate,
Alabama,High_school_graduate_includes_equivalency,
Alabama,Some_college_or_associates_degree,
Alabama,Bachelors_degree,Combined_25_to_39_years
Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Alabama,Bachelors_degree,Business
Alabama,Bachelors_degree,Communications
Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics
Alabama,Bachelors_degree,Education
Alabama,Bachelors_degree,Engineering
Alabama,Bachelors_degree,Liberal_Arts_and_History
Alabama,Bachelors_degree,Literature_and_Languages
Alabama,Bachelors_degree,Multidisciplinary_Studies
Alabama,Bachelors_degree,Other
Alabama,Bachelors_degree,Physical_and_Related_Sciences
Alabama,Bachelors_degree,Psychology
Alabama,Bachelors_degree,Science_and_Engineering_Related_Fields
Alabama,Bachelors_degree,Social_Sciences
Alabama,Bachelors_degree,Visual_and_Performing_Arts
Alabama,Less_than_high_school_graduate,
Alabama,High_school_graduate_includes_equivalency,
Alabama,Some_college_or_associates_degree,
Alabama,Bachelors_degree,Combined_25_to_39_years
Alabama,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Alabama,Bachelors_degree,Business
Alabama,Bachelors_degree,Communications
Alabama,Bachelors_degree,Computers_Mathematics_and_Statistics
Alabama,Bachelors_degree,Education
Alabama,Bachelors_degree,Engineering
Alabama,Bachelors_degree,Liberal_Arts_and_History
Alabama,Bachelors_degree,Literature_and_Languages
Alabama,Bachelors_degree,Multidisciplinary_Studies
Alabama,Bachelors_degree,Other
Alabama,Bachelors_degree,Physical_and_Related_Sciences
Alabama,Bachelors_degree,Psychology
Alabama,Bachelors_degree,Science_and_Engineering_Related_Fields
Alabama,Bachelors_degree,Social_Sciences
Alabama,Bachelors_degree,Visual_and_Performing_Arts
Alaska,Less_than_high_school_graduate,
Alaska,High_school_graduate_includes_equivalency,
Alaska,Some_college_or_associates_degree,
Alaska,Bachelors_degree,Combined_25_to_39_years
Alaska,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Alaska,Bachelors_degree,Business
Alaska,Bachelors_degree,Communications
Alaska,Bachelors_degree,Computers_Mathematics_and_Statistics
Alaska,Bachelors_degree,Education
Alaska,Bachelors_degree,Engineering
Alaska,Bachelors_degree,Liberal_Arts_and_History
Alaska,Bachelors_degree,Literature_and_Languages
Alaska,Bachelors_degree,Multidisciplinary_Studies
Alaska,Bachelors_degree,Other
Alaska,Bachelors_degree,Physical_and_Related_Sciences
Alaska,Bachelors_degree,Psychology
Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields
Alaska,Bachelors_degree,Social_Sciences
Alaska,Bachelors_degree,Visual_and_Performing_Arts
Alaska,Less_than_high_school_graduate,
Alaska,High_school_graduate_includes_equivalency,
Alaska,Some_college_or_associates_degree,
Alaska,Bachelors_degree,Combined_25_to_39_years
Alaska,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Alaska,Bachelors_degree,Business
Alaska,Bachelors_degree,Communications
Alaska,Bachelors_degree,Computers_Mathematics_and_Statistics
Alaska,Bachelors_degree,Education
Alaska,Bachelors_degree,Engineering
Alaska,Bachelors_degree,Liberal_Arts_and_History
Alaska,Bachelors_degree,Literature_and_Languages
Alaska,Bachelors_degree,Multidisciplinary_Studies
Alaska,Bachelors_degree,Other
Alaska,Bachelors_degree,Physical_and_Related_Sciences
Alaska,Bachelors_degree,Psychology
Alaska,Bachelors_degree,Science_and_Engineering_Related_Fields
Alaska,Bachelors_degree,Social_Sciences
Alaska,Bachelors_degree,Visual_and_Performing_Arts
Arizona,Less_than_high_school_graduate,
Arizona,High_school_graduate_includes_equivalency,
Arizona,Some_college_or_associates_degree,
Arizona,Bachelors_degree,Combined_25_to_39_years
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Arizona,Bachelors_degree,Business
Arizona,Bachelors_degree,Communications
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics
Arizona,Bachelors_degree,Education
Arizona,Bachelors_degree,Engineering
Arizona,Bachelors_degree,Liberal_Arts_and_History
Arizona,Bachelors_degree,Literature_and_Languages
Arizona,Bachelors_degree,Multidisciplinary_Studies
Arizona,Bachelors_degree,Other
Arizona,Bachelors_degree,Physical_and_Related_Sciences
Arizona,Bachelors_degree,Psychology
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields
Arizona,Bachelors_degree,Social_Sciences
Arizona,Bachelors_degree,Visual_and_Performing_Arts
Arizona,Less_than_high_school_graduate,
Arizona,High_school_graduate_includes_equivalency,
Arizona,Some_college_or_associates_degree,
Arizona,Bachelors_degree,Combined_25_to_39_years
Arizona,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Arizona,Bachelors_degree,Business
Arizona,Bachelors_degree,Communications
Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics
Arizona,Bachelors_degree,Education
Arizona,Bachelors_degree,Engineering
Arizona,Bachelors_degree,Liberal_Arts_and_History
Arizona,Bachelors_degree,Literature_and_Languages
Arizona,Bachelors_degree,Multidisciplinary_Studies
Arizona,Bachelors_degree,Other
Arizona,Bachelors_degree,Physical_and_Related_Sciences
Arizona,Bachelors_degree,Psychology
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields
Arizona,Bachelors_degree,Social_Sciences
Arizona,Bachelors_degree,Visual_and_Performing_Arts
Arkansas,Less_than_high_school_graduate,
Arkansas,High_school_graduate_includes_equivalency,
Arkansas,Some_college_or_associates_degree,
Arkansas,Bachelors_degree,Combined_25_to_39_years
Arkansas,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Arkansas,Bachelors_degree,Business
Arkansas,Bachelors_degree,Communications
Arkansas,Bachelors_degree,Computers_Mathematics_and_Statistics
Arkansas,Bachelors_degree,Education
Arkansas,Bachelors_degree,Engineering
Arkansas,Bachelors_degree,Liberal_Arts_and_History
Arkansas,Bachelors_degree,Literature_and_Languages
Arkansas,Bachelors_degree,Multidisciplinary_Studies
Arkansas,Bachelors_degree,Other
Arkansas,Bachelors_degree,Physical_and_Related_Sciences
Arkansas,Bachelors_degree,Psychology
Arkansas,Bachelors_degree,Science_and_Engineering_Related_Fields
Arkansas,Bachelors_degree,Social_Sciences
Arkansas,Bachelors_degree,Visual_and_Performing_Arts
