State,Education,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS,Baseline
Alabama,HS did not graduate,16,28515,28515,,27.16215253,1
Alabama,HS graduate,18,34127,34127,27.16215253,,1
Alabama,Associate Degree,20,39501,26279.48346,30.58579251,34.1610563,1
Alabama,All Majors Combined,22,54366,17147.26475,29.05805328,29.58376082,0
Alabama,Bachelor's in Biological Agricultural and Environmental Sciences,22,53005,15786.26475,29.50586914,30.20260278,0
Alabama,Bachelor's in Business,22,59018,21799.26475,27.82912288,27.97950003,0
Alabama,Bachelor's in Communications,22,44332,7113.264748,34.16992699,38.02368792,0
Alabama,Bachelor's in Computers Mathematics and Statistics,22,64515,27296.26475,26.78635376,26.71695193,0
Alabama,Bachelor's in Education,22,47996,10777.26475,31.69291798,33.52626255,0
Alabama,Bachelor's in Engineering,22,84357,47138.26475,24.73032369,24.45862503,0
Alabama,Bachelor's in Liberal Arts and History,22,49751,12532.26475,30.80922656,32.11922269,0
Alabama,Bachelor's in Literature and Languages,22,45636,8417.264748,33.16685563,36.09485926,0
Alabama,Bachelor's in Multidisciplinary Studies,22,46004,8785.264748,32.91084312,35.62715629,0
Alabama,Bachelor's in Other,22,48237,11018.26475,31.56225207,33.31231292,0
Alabama,Bachelor's in Physical and Related Sciences,22,42097,4878.264748,36.3371179,42.79758284,0
Alabama,Bachelor's in Psychology,22,48988,11769.26475,31.17480268,32.69011071,0
Alabama,Bachelor's in Science and Engineering Related Fields,22,63414,26195.26475,26.9689027,26.931872,0
Alabama,Bachelor's in Social Sciences,22,53549,16330.26475,29.32103281,29.94484272,0
Alabama,Bachelor's in Visual and Performing Arts,22,41332,4113.264748,37.25253454,45.11196881,0
Alabama,HS did not graduate,39,28515,684360,,,1
Alabama,HS graduate,39,34127,750794,,,1
Alabama,Associate Degree,39,39501,776798.4835,,,1
Alabama,All Majors Combined,39,54366,941369.2647,,,0
Alabama,Bachelor's in Biological Agricultural and Environmental Sciences,39,53005,916871.2647,,,0
Alabama,Bachelor's in Business,39,59018,1025105.265,,,0
