State,Education,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS,Baseline
Alabama,HS did not graduate,16,28515,28515,,26.16215253,1
Alabama,HS graduate,18,34127,34127,26.16215253,,1
Alabama,Associate Degree,20,39501,26279.48346,29.58579251,33.1610563,1
Alabama,All Majors Combined,22,54366,17147.26475,28.05805328,28.58376082,0
Alabama,Bachelor's in Biological Agricultural and Environmental Sciences,22,53005,15786.26475,28.50586914,29.20260278,0
Alabama,Bachelor's in Business,22,59018,21799.26475,26.82912288,26.97950003,0
Alabama,Bachelor's in Communications,22,44332,7113.264748,33.16992699,37.02368792,0
Alabama,Bachelor's in Computers Mathematics and Statistics,22,64515,27296.26475,25.78635376,25.71695193,0
Alabama,Bachelor's in Education,22,47996,10777.26475,30.69291798,32.52626255,0
Alabama,Bachelor's in Engineering,22,84357,47138.26475,23.73032369,23.45862503,0
Alabama,Bachelor's in Liberal Arts and History,22,49751,12532.26475,29.80922656,31.11922269,0
Alabama,Bachelor's in Literature and Languages,22,45636,8417.264748,32.16685563,35.09485926,0
Alabama,Bachelor's in Multidisciplinary Studies,22,46004,8785.264748,31.91084312,34.62715629,0
Alabama,Bachelor's in Other,22,48237,11018.26475,30.56225207,32.31231292,0
Alabama,Bachelor's in Physical and Related Sciences,22,42097,4878.264748,35.3371179,41.79758284,0
Alabama,Bachelor's in Psychology,22,48988,11769.26475,30.17480268,31.69011071,0
Alabama,Bachelor's in Science and Engineering Related Fields,22,63414,26195.26475,25.9689027,25.931872,0
Alabama,Bachelor's in Social Sciences,22,53549,16330.26475,28.32103281,28.94484272,0
Alabama,Bachelor's in Visual and Performing Arts,22,41332,4113.264748,36.25253454,44.11196881,0
Alabama,HS did not graduate,39,28515,684360,,,1
Alabama,HS graduate,39,34127,750794,,,1
Alabama,Associate Degree,39,39501,776798.4835,,,1
Alabama,All Majors Combined,39,54366,941369.2647,,,0
Alabama,Bachelor's in Biological Agricultural and Environmental Sciences,39,53005,916871.2647,,,0
Alabama,Bachelor's in Business,39,59018,1025105.265,,,0
Alabama,Bachelor's in Communications,39,44332,760757.2647,,,0
Alabama,Bachelor's in Computers Mathematics and Statistics,39,64515,1124051.265,,,0
Alabama,Bachelor's in Education,39,47996,826709.2647,,,0
Alabama,Bachelor's in Engineering,39,84357,1481207.265,,,0
Alabama,Bachelor's in Liberal Arts and History,39,49751,858299.2647,,,0
Alabama,Bachelor's in Literature and Languages,39,45636,784229.2647,,,0
Alabama,Bachelor's in Multidisciplinary Studies,39,46004,790853.2647,,,0
Alabama,Bachelor's in Other,39,48237,831047.2647,,,0
Alabama,Bachelor's in Physical and Related Sciences,39,42097,720527.2647,,,0
Alabama,Bachelor's in Psychology,39,48988,844565.2647,,,0
Alabama,Bachelor's in Science and Engineering Related Fields,39,63414,1104233.265,,,0
Alabama,Bachelor's in Social Sciences,39,53549,926663.2647,,,0
Alabama,Bachelor's in Visual and Performing Arts,39,41332,706757.2647,,,0
Alaska,HS did not graduate,16,41145,41145,,-150.5789474,1
Alaska,HS graduate,18,40651,40651,-150.5789474,,1
Alaska,Associate Degree,20,51499,32318.49974,35.74777866,27.26276735,1
Alaska,All Majors Combined,22,65259,36140.27095,31.44516584,27.79107319,0
Alaska,Bachelor's in Biological Agricultural and Environmental Sciences,22,64688,35569.27095,31.7227511,27.97615048,0
Alaska,Bachelor's in Business,22,73420,44301.27095,28.55116124,25.85073481,0
Alaska,Bachelor's in Communications,22,56281,27162.27095,38.23392766,32.26632943,0
Alaska,Bachelor's in Computers Mathematics and Statistics,22,76786,47667.27095,27.74357423,25.30573486,0
Alaska,Bachelor's in Education,22,63555,34436.27095,32.31542745,28.37070944,0
Alaska,Bachelor's in Engineering,22,92910,63791.27095,25.33157015,23.6687026,0
Alaska,Bachelor's in Liberal Arts and History,22,63558,34439.27095,32.31377901,28.36961318,0
Alaska,Bachelor's in Literature and Languages,22,59733,30614.27095,34.84768286,30.04730788,0
Alaska,Bachelor's in Multidisciplinary Studies,22,71236,42117.27095,29.17180317,26.26852147,0
Alaska,Bachelor's in Other,22,62025,32906.27095,33.21785101,28.96990404,0
Alaska,Bachelor's in Physical and Related Sciences,22,67957,38838.27095,30.29347788,27.02126745,0
Alaska,Bachelor's in Psychology,22,70578,41459.27095,29.3768467,26.40634641,0
Alaska,Bachelor's in Science and Engineering Related Fields,22,62289,33170.27095,33.05281541,28.86046442,0
Alaska,Bachelor's in Social Sciences,22,64250,35131.27095,31.94497853,28.1241887,0
Alaska,Bachelor's in Visual and Performing Arts,22,38038,8919.27095,-68.82804282,-53.37264793,0
Alaska,HS did not graduate,39,41145,987480,,,1
Alaska,HS graduate,39,40651,894322,,,1
Alaska,Associate Degree,39,51499,1010799.5,,,1
Alaska,All Majors Combined,39,65259,1145543.271,,,0
Alaska,Bachelor's in Biological Agricultural and Environmental Sciences,39,64688,1135265.271,,,0
Alaska,Bachelor's in Business,39,73420,1292441.271,,,0
Alaska,Bachelor's in Communications,39,56281,983939.2709,,,0
Alaska,Bachelor's in Computers Mathematics and Statistics,39,76786,1353029.271,,,0
Alaska,Bachelor's in Education,39,63555,1114871.271,,,0
Alaska,Bachelor's in Engineering,39,92910,1643261.271,,,0
Alaska,Bachelor's in Liberal Arts and History,39,63558,1114925.271,,,0
Alaska,Bachelor's in Literature and Languages,39,59733,1046075.271,,,0
Alaska,Bachelor's in Multidisciplinary Studies,39,71236,1253129.271,,,0
Alaska,Bachelor's in Other,39,62025,1087331.271,,,0
Alaska,Bachelor's in Physical and Related Sciences,39,67957,1194107.271,,,0
Alaska,Bachelor's in Psychology,39,70578,1241285.271,,,0
Alaska,Bachelor's in Science and Engineering Related Fields,39,62289,1092083.271,,,0
Alaska,Bachelor's in Social Sciences,39,64250,1127381.271,,,0
Alaska,Bachelor's in Visual and Performing Arts,39,38038,655565.2709,,,0
Arizona,HS did not graduate,16,31966,31966,,25.71463303,1
Arizona,HS graduate,18,38547,38547,25.71463303,,1
Arizona,Associate Degree,20,45115,29704.82867,28.89620285,32.08406994,1
Arizona,All Majors Combined,22,60743,17517.78968,28.16698093,28.89408949,0
Arizona,Bachelor's in Biological Agricultural and Environmental Sciences,22,54925,11699.78968,30.23656128,32.05356028,0
Arizona,Bachelor's in Business,22,66060,22834.78968,26.89333051,27.17527025,0
Arizona,Bachelor's in Communications,22,55536,12310.78968,29.97120112,31.62006065,0
Arizona,Bachelor's in Computers Mathematics and Statistics,22,82391,39165.78968,24.66080734,24.50262773,0
Arizona,Bachelor's in Education,22,51036,7810.789684,32.32413269,35.80696696,0
Arizona,Bachelor's in Engineering,22,86615,43389.78968,24.3005583,24.10695703,0
Arizona,Bachelor's in Liberal Arts and History,22,56760,13534.78968,29.478955,30.83913745,0
Arizona,Bachelor's in Literature and Languages,22,52459,9233.789684,31.46836531,34.19013875,0
Arizona,Bachelor's in Multidisciplinary Studies,22,54175,10949.78968,30.5822509,32.63202011,0
Arizona,Bachelor's in Other,22,56087,12861.78968,29.74342732,31.25502909,0
Arizona,Bachelor's in Physical and Related Sciences,22,62316,19090.78968,27.74369721,28.30549078,0
Arizona,Bachelor's in Psychology,22,53281,10055.78968,31.02609478,33.39848041,0
Arizona,Bachelor's in Science and Engineering Related Fields,22,62915,19689.78968,27.59382243,28.10133004,0
Arizona,Bachelor's in Social Sciences,22,59144,15918.78968,28.64747996,29.58456136,0
Arizona,Bachelor's in Visual and Performing Arts,22,47658,4432.789684,34.9771355,41.66756781,0
Arizona,HS did not graduate,39,31966,767184,,,1
Arizona,HS graduate,39,38547,848034,,,1
Arizona,Associate Degree,39,45115,886889.8287,,,1
Arizona,All Majors Combined,39,60743,1050148.79,,,0
Arizona,Bachelor's in Biological Agricultural and Environmental Sciences,39,54925,945424.7897,,,0
Arizona,Bachelor's in Business,39,66060,1145854.79,,,0
Arizona,Bachelor's in Communications,39,55536,956422.7897,,,0
Arizona,Bachelor's in Computers Mathematics and Statistics,39,82391,1439812.79,,,0
Arizona,Bachelor's in Education,39,51036,875422.7897,,,0
Arizona,Bachelor's in Engineering,39,86615,1515844.79,,,0
Arizona,Bachelor's in Liberal Arts and History,39,56760,978454.7897,,,0
Arizona,Bachelor's in Literature and Languages,39,52459,901036.7897,,,0
Arizona,Bachelor's in Multidisciplinary Studies,39,54175,931924.7897,,,0
Arizona,Bachelor's in Other,39,56087,966340.7897,,,0
Arizona,Bachelor's in Physical and Related Sciences,39,62316,1078462.79,,,0
Arizona,Bachelor's in Psychology,39,53281,915832.7897,,,0
Arizona,Bachelor's in Science and Engineering Related Fields,39,62915,1089244.79,,,0
Arizona,Bachelor's in Social Sciences,39,59144,1021366.79,,,0
Arizona,Bachelor's in Visual and Performing Arts,39,47658,814618.7897,,,0
Arkansas,HS did not graduate,16,30770,30770,,32.42380571,1
Arkansas,HS graduate,18,34517,34517,32.42380571,,1
Arkansas,Associate Degree,20,38814,27006.16732,34.76875096,36.81355194,1
Arkansas,All Majors Combined,22,52604,19144.26324,29.98807991,29.48348188,0
Arkansas,Bachelor's in Biological Agricultural and Environmental Sciences,22,57000,23540.26324,28.31413407,27.62921927,0
Arkansas,Bachelor's in Business,22,59681,26221.26324,27.54314056,26.81639393,0
Arkansas,Bachelor's in Communications,22,45923,12463.26324,34.39185222,35.03837776,0
Arkansas,Bachelor's in Computers Mathematics and Statistics,22,93027,59567.26324,23.50289504,22.93159694,0
Arkansas,Bachelor's in Education,22,46818,13358.26324,33.5892159,33.94421078,0
Arkansas,Bachelor's in Engineering,22,72789,39329.26324,25.19002682,24.4818075,0
Arkansas,Bachelor's in Liberal Arts and History,22,42657,9197.263242,38.34607022,41.07220353,0
Arkansas,Bachelor's in Literature and Languages,22,50121,16661.26324,31.26968822,30.99254914,0
Arkansas,Bachelor's in Multidisciplinary Studies,22,50461,17001.26324,31.07509709,30.75813703,0
Arkansas,Bachelor's in Other,22,45047,11587.26324,35.27489926,36.28943369,0
Arkansas,Bachelor's in Physical and Related Sciences,22,61495,28035.26324,27.09779452,26.35805978,0
Arkansas,Bachelor's in Psychology,22,42749,9289.263242,38.20517044,40.83670272,0
Arkansas,Bachelor's in Science and Engineering Related Fields,22,61354,27894.26324,27.13051716,26.39146465,0
Arkansas,Bachelor's in Social Sciences,22,49192,15732.26324,31.83800547,31.68843181,0
Arkansas,Bachelor's in Visual and Performing Arts,22,43675,10215.26324,36.89885601,38.72982494,0
Arkansas,HS did not graduate,39,30770,738480,,,1
Arkansas,HS graduate,39,34517,759374,,,1
Arkansas,Associate Degree,39,38814,764472.1673,,,1
Arkansas,All Majors Combined,39,52604,913412.2632,,,0
Arkansas,Bachelor's in Biological Agricultural and Environmental Sciences,39,57000,992540.2632,,,0
Arkansas,Bachelor's in Business,39,59681,1040798.263,,,0
Arkansas,Bachelor's in Communications,39,45923,793154.2632,,,0
Arkansas,Bachelor's in Computers Mathematics and Statistics,39,93027,1641026.263,,,0
Arkansas,Bachelor's in Education,39,46818,809264.2632,,,0
Arkansas,Bachelor's in Engineering,39,72789,1276742.263,,,0
Arkansas,Bachelor's in Liberal Arts and History,39,42657,734366.2632,,,0
Arkansas,Bachelor's in Literature and Languages,39,50121,868718.2632,,,0
Arkansas,Bachelor's in Multidisciplinary Studies,39,50461,874838.2632,,,0
Arkansas,Bachelor's in Other,39,45047,777386.2632,,,0
Arkansas,Bachelor's in Physical and Related Sciences,39,61495,1073450.263,,,0
Arkansas,Bachelor's in Psychology,39,42749,736022.2632,,,0
Arkansas,Bachelor's in Science and Engineering Related Fields,39,61354,1070912.263,,,0
Arkansas,Bachelor's in Social Sciences,39,49192,851996.2632,,,0
Arkansas,Bachelor's in Visual and Performing Arts,39,43675,752690.2632,,,0
California,HS did not graduate,16,30843,30843,,24.04879958,1
California,HS graduate,18,38507,38507,24.04879958,,1
California,Associate Degree,20,47535,30017.43039,26.44054455,28.4709315,1
California,All Majors Combined,22,76005,39710.52924,24.90129912,25.07553658,0
California,Bachelor's in Biological Agricultural and Environmental Sciences,22,74495,38200.52924,25.07084374,25.28849813,0
California,Bachelor's in Business,22,78489,42194.52924,24.64577238,24.76020386,0
California,Bachelor's in Communications,22,70378,34083.52924,25.59889897,25.97165043,0
California,Bachelor's in Computers Mathematics and Statistics,22,106581,70286.52924,22.92260782,22.79581736,0
California,Bachelor's in Education,22,55837,19542.52924,28.85622432,30.98225452,0
California,Bachelor's in Engineering,22,116465,80170.52924,22.58522892,22.44134625,0
California,Bachelor's in Liberal Arts and History,22,63722,27427.52924,26.73233586,27.54798615,0
California,Bachelor's in Literature and Languages,22,63706,27411.52924,26.73561363,27.55277871,0
California,Bachelor's in Multidisciplinary Studies,22,74142,37847.52924,25.11218436,25.34088595,0
California,Bachelor's in Other,22,60909,24614.52924,27.36221881,28.49578032,0
California,Bachelor's in Physical and Related Sciences,22,80828,44533.52924,24.42837793,24.49711658,0
California,Bachelor's in Psychology,22,63246,26951.52924,26.83123386,27.69321601,0
California,Bachelor's in Science and Engineering Related Fields,22,80368,44073.52924,24.46950976,24.54653426,0
California,Bachelor's in Social Sciences,22,75405,39110.52924,24.9672921,25.15807011,0
California,Bachelor's in Visual and Performing Arts,22,58721,22426.52924,27.94004128,29.41537898,0
California,HS did not graduate,39,30843,740232,,,1
California,HS graduate,39,38507,847154,,,1
California,Associate Degree,39,47535,933182.4304,,,1
California,All Majors Combined,39,76005,1331795.529,,,0
California,Bachelor's in Biological Agricultural and Environmental Sciences,39,74495,1304615.529,,,0
California,Bachelor's in Business,39,78489,1376507.529,,,0
California,Bachelor's in Communications,39,70378,1230509.529,,,0
California,Bachelor's in Computers Mathematics and Statistics,39,106581,1882163.529,,,0
California,Bachelor's in Education,39,55837,968771.5292,,,0
California,Bachelor's in Engineering,39,116465,2060075.529,,,0
California,Bachelor's in Liberal Arts and History,39,63722,1110701.529,,,0
California,Bachelor's in Literature and Languages,39,63706,1110413.529,,,0
California,Bachelor's in Multidisciplinary Studies,39,74142,1298261.529,,,0
California,Bachelor's in Other,39,60909,1060067.529,,,0
California,Bachelor's in Physical and Related Sciences,39,80828,1418609.529,,,0
California,Bachelor's in Psychology,39,63246,1102133.529,,,0
California,Bachelor's in Science and Engineering Related Fields,39,80368,1410329.529,,,0
California,Bachelor's in Social Sciences,39,75405,1320995.529,,,0
California,Bachelor's in Visual and Performing Arts,39,58721,1020683.529,,,0
Colorado,HS did not graduate,16,34357,34357,,24.7112069,1
Colorado,HS graduate,18,42245,42245,24.7112069,,1
Colorado,Associate Degree,20,46542,29616.54368,30.66749744,41.60145597,1
Colorado,All Majors Combined,22,67009,32068.04234,27.38340554,28.23457267,0
Colorado,Bachelor's in Biological Agricultural and Environmental Sciences,22,59924,24983.04234,29.42945819,31.53464323,0
Colorado,Bachelor's in Business,22,80460,45519.04234,25.22922495,25.33614962,0
Colorado,Bachelor's in Communications,22,63735,28794.04234,28.20624133,29.48910924,0
Colorado,Bachelor's in Computers Mathematics and Statistics,22,90114,55173.04234,24.32381508,24.25997948,0
Colorado,Bachelor's in Education,22,48184,13243.04234,37.43566628,54.33590801,0
Colorado,Bachelor's in Engineering,22,93554,58613.04234,24.07255364,23.97437014,0
Colorado,Bachelor's in Liberal Arts and History,22,62406,27465.04234,28.59506427,30.11462515,0
Colorado,Bachelor's in Literature and Languages,22,51585,16644.04234,33.99367063,41.83307898,0
Colorado,Bachelor's in Multidisciplinary Studies,22,58763,23822.04234,29.87802006,32.34537823,0
Colorado,Bachelor's in Other,22,62558,27617.04234,28.54873791,30.0389385,0
Colorado,Bachelor's in Physical and Related Sciences,22,67253,32312.04234,27.32864049,28.15422895,0
Colorado,Bachelor's in Psychology,22,54295,19354.04234,32.09163194,36.92290105,0
Colorado,Bachelor's in Science and Engineering Related Fields,22,67357,32416.04234,27.30554417,28.12045865,0
Colorado,Bachelor's in Social Sciences,22,73201,38260.04234,26.20644006,26.58744533,0
Colorado,Bachelor's in Visual and Performing Arts,22,51710,16769.04234,33.89286911,41.54473932,0
Colorado,HS did not graduate,39,34357,824568,,,1
Colorado,HS graduate,39,42245,929390,,,1
Colorado,Associate Degree,39,46542,913914.5437,,,1
Colorado,All Majors Combined,39,67009,1171221.042,,,0
Colorado,Bachelor's in Biological Agricultural and Environmental Sciences,39,59924,1043691.042,,,0
Colorado,Bachelor's in Business,39,80460,1413339.042,,,0
Colorado,Bachelor's in Communications,39,63735,1112289.042,,,0
Colorado,Bachelor's in Computers Mathematics and Statistics,39,90114,1587111.042,,,0
Colorado,Bachelor's in Education,39,48184,832371.0423,,,0
Colorado,Bachelor's in Engineering,39,93554,1649031.042,,,0
Colorado,Bachelor's in Liberal Arts and History,39,62406,1088367.042,,,0
Colorado,Bachelor's in Literature and Languages,39,51585,893589.0423,,,0
Colorado,Bachelor's in Multidisciplinary Studies,39,58763,1022793.042,,,0
Colorado,Bachelor's in Other,39,62558,1091103.042,,,0
Colorado,Bachelor's in Physical and Related Sciences,39,67253,1175613.042,,,0
Colorado,Bachelor's in Psychology,39,54295,942369.0423,,,0
Colorado,Bachelor's in Science and Engineering Related Fields,39,67357,1177485.042,,,0
Colorado,Bachelor's in Social Sciences,39,73201,1282677.042,,,0
Colorado,Bachelor's in Visual and Performing Arts,39,51710,895839.0423,,,0
Connecticut,HS did not graduate,16,31767,31767,,22.45473941,1
Connecticut,HS graduate,18,41610,41610,22.45473941,,1
Connecticut,Associate Degree,20,49709,33597.91228,25.98010744,30.2646114,1
Connecticut,All Majors Combined,22,71512,30272.28152,25.8332298,26.94534541,0
Connecticut,Bachelor's in Biological Agricultural and Environmental Sciences,22,75037,33797.28152,25.35802446,26.21293321,0
Connecticut,Bachelor's in Business,22,80851,39611.28152,24.72336644,25.29241657,0
Connecticut,Bachelor's in Communications,22,70716,29476.28152,25.95244341,27.13528889,0
Connecticut,Bachelor's in Computers Mathematics and Statistics,22,80949,39709.28152,24.71395467,25.27923228,0
Connecticut,Bachelor's in Education,22,63127,21887.28152,27.39291194,29.65189006,0
Connecticut,Bachelor's in Engineering,22,94186,52946.28152,23.7142812,23.95008594,0
Connecticut,Bachelor's in Liberal Arts and History,22,66632,25392.28152,26.64969793,28.29988484,0
Connecticut,Bachelor's in Literature and Languages,22,58192,16952.28152,28.77357497,32.5244071,0
Connecticut,Bachelor's in Multidisciplinary Studies,22,71408,30168.28152,25.84853355,26.96958583,0
Connecticut,Bachelor's in Other,22,64746,23506.28152,27.02998024,28.97647469,0
Connecticut,Bachelor's in Physical and Related Sciences,22,69743,28503.28152,26.10495362,27.38206798,0
Connecticut,Bachelor's in Psychology,22,61932,20692.28152,27.68578546,30.21945274,0
Connecticut,Bachelor's in Science and Engineering Related Fields,22,71259,30019.28152,25.87059958,27.00461123,0
Connecticut,Bachelor's in Social Sciences,22,67955,26715.28152,26.40659109,27.88307908,0
Connecticut,Bachelor's in Visual and Performing Arts,22,54400,13160.28152,30.24352576,36.23766368,0
Connecticut,HS did not graduate,39,31767,762408,,,1
Connecticut,HS graduate,39,41610,915420,,,1
Connecticut,Associate Degree,39,49709,978068.9123,,,1
Connecticut,All Majors Combined,39,71512,1245976.282,,,0
Connecticut,Bachelor's in Biological Agricultural and Environmental Sciences,39,75037,1309426.282,,,0
Connecticut,Bachelor's in Business,39,80851,1414078.282,,,0
Connecticut,Bachelor's in Communications,39,70716,1231648.282,,,0
Connecticut,Bachelor's in Computers Mathematics and Statistics,39,80949,1415842.282,,,0
Connecticut,Bachelor's in Education,39,63127,1095046.282,,,0
Connecticut,Bachelor's in Engineering,39,94186,1654108.282,,,0
Connecticut,Bachelor's in Liberal Arts and History,39,66632,1158136.282,,,0
Connecticut,Bachelor's in Literature and Languages,39,58192,1006216.282,,,0
Connecticut,Bachelor's in Multidisciplinary Studies,39,71408,1244104.282,,,0
Connecticut,Bachelor's in Other,39,64746,1124188.282,,,0
Connecticut,Bachelor's in Physical and Related Sciences,39,69743,1214134.282,,,0
Connecticut,Bachelor's in Psychology,39,61932,1073536.282,,,0
Connecticut,Bachelor's in Science and Engineering Related Fields,39,71259,1241422.282,,,0
Connecticut,Bachelor's in Social Sciences,39,67955,1181950.282,,,0
Connecticut,Bachelor's in Visual and Performing Arts,39,54400,937960.2815,,,0
Delaware,HS did not graduate,16,34578,34578,,29.19267455,1
Delaware,HS graduate,18,39820,39820,29.19267455,,1
Delaware,Associate Degree,20,44530,24794.71341,33.88095725,39.09878696,1
Delaware,All Majors Combined,22,65284,30403.82791,27.89253475,27.62488894,0
Delaware,Bachelor's in Biological Agricultural and Environmental Sciences,22,70784,35903.82791,26.69359145,26.27051324,0
Delaware,Bachelor's in Business,22,77211,42330.82791,25.68452073,25.19269803,0
Delaware,Bachelor's in Communications,22,36346,1465.827906,157.074758,-35.88951413,0
Delaware,Bachelor's in Computers Mathematics and Statistics,22,45437,10556.82791,42.31772466,54.56652521,0
Delaware,Bachelor's in Education,22,60253,25372.82791,29.43907194,29.50228415,0
Delaware,Bachelor's in Engineering,22,87564,52683.82791,24.5738152,24.06669261,0
Delaware,Bachelor's in Liberal Arts and History,22,75703,40822.82791,25.89296467,25.41092362,0
Delaware,Bachelor's in Literature and Languages,22,55543,20662.82791,31.55965524,32.34879934,0
Delaware,Bachelor's in Multidisciplinary Studies,22,59192,24311.82791,29.84594833,30.02272208,0
Delaware,Bachelor's in Other,22,58868,23987.82791,29.97728168,30.19320517,0
Delaware,Bachelor's in Physical and Related Sciences,22,70041,35160.82791,26.83383166,26.42467728,0
Delaware,Bachelor's in Psychology,22,66239,31358.82791,27.65446992,27.34926273,0
Delaware,Bachelor's in Science and Engineering Related Fields,22,75410,40529.82791,25.93525108,25.45546985,0
Delaware,Bachelor's in Social Sciences,22,53167,18286.82791,33.03718178,34.54710213,0
