,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
0,Alabama,total,Total,42463,488,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,,,42463.0,
1,Alabama,total,Less_than_high_school_graduate,28515,1683,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,16.0,-427725.0,28515.0,684360.0
2,Alabama,total,High_school_graduate_includes_equivalency,34127,1153,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,18.0,-580159.0,34127.0,750794.0
3,Alabama,total,Some_college_or_associates_degree,39501,944,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,5076.1578947368425,10152.315789473685,110.17930453109895,13221.516543731874,20.0,-763740.5165437319,26279.483456268128,776798.4834562681
4,Alabama,total,Bachelors_degree,56640,1667,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,7144.724137931034,28578.896551724138,310.15612709762127,37218.73525171455,22.0,-1226658.7352517145,19421.26474828545,982301.2647482854
5,Alabama,total,Graduate_or_professional_degree,70732,1893,AL,59.833333333333336,7144.724137931034,16.04,5076.1578947368425,73.46666666666667,7098.2,0.0,0.0,0.0,0.0,26.0,-1768300.0,70732.0,990248.0
18,Alaska,total,Total,53582,1470,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,,,53582.0,
19,Alaska,total,Less_than_high_school_graduate,41145,3279,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,16.0,-617175.0,41145.0,987480.0
20,Alaska,total,High_school_graduate_includes_equivalency,40651,2478,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,18.0,-691067.0,40651.0,894322.0
21,Alaska,total,Some_college_or_associates_degree,51499,2127,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,7364.0,14728.0,159.83750218019472,19180.500261623365,20.0,-997661.5002616234,32318.499738376635,1010799.4997383766
22,Alaska,total,Bachelors_degree,67321,5978,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,5589.8,22359.2,242.6560754173961,29118.72905008753,22.0,-1442859.7290500875,38202.27094991247,1182659.2709499125
23,Alaska,total,Graduate_or_professional_degree,89202,4757,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,0.0,0.0,0.0,0.0,26.0,-2230050.0,89202.0,1248828.0
36,Arizona,total,Total,48738,558,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,,,48738.0,
37,Arizona,total,Less_than_high_school_graduate,31966,538,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,16.0,-479490.0,31966.0,767184.0
38,Arizona,total,High_school_graduate_includes_equivalency,38547,909,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,18.0,-655299.0,38547.0,848034.0
39,Arizona,total,Some_college_or_associates_degree,45115,797,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,5916.451612903225,11832.90322580645,128.41809445633294,15410.171334759953,20.0,-872595.1713347599,29704.82866524005,886889.8286652401
