state,education,age,salary
Alabama,Less_than_high_school_graduate,16,28515
Alabama,High_school_graduate_includes_equivalency,18,34127
Alabama,Some_college_or_associates_degree,20,26279.48346
Alabama,Bachelors_degree,22,19421.26475
Alabama,Graduate_or_professional_degree,26,70732
Alabama,Less_than_high_school_graduate,39,684360
Alabama,High_school_graduate_includes_equivalency,39,750794
Alabama,Some_college_or_associates_degree,39,776798.4835
Alabama,Bachelors_degree,39,982301.2647
Alabama,Graduate_or_professional_degree,39,990248
